bubblesort/0_orig/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,bubblesort/0_orig/BubbleSort.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,bubblesort/1_artifice/BubbleSort.java_main
guessword/0_orig/GuessWord.java_ReadWordsFromFile,guessword/0_orig/GuessWord.java_ReadWordsFromFile,guessword/test_1_artifice_no_procyon/GuessWord.java_m04,guessword/test_0_orig_no_procyon/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m04,guessword/1_artifice/GuessWord.java_m04,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,guessword/test_0_orig_pg_procyon/GuessWord.java_a
guessword/0_orig/GuessWord.java_ReadString,guessword/0_orig/GuessWord.java_ReadString,InfixConverter/0_orig/InfixConverter.java_ReadString,hanoi/0_orig/Main.java_main,InfixConverter/0_orig/InfixConverter.java_ReadInteger,kaprekar/0_orig/Kaprekar_Transformation.java_ReadInteger,railroadcar/0_orig/RailRoadCar.java_main,bubblesort/0_orig/BubbleSort.java_main,guessword/1_artifice/GuessWord.java_m14,InfixConverter/test_0_orig_no_krakatau/InfixConverter.java_ReadString,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString
guessword/0_orig/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main
guessword/1_artifice/GuessWord.java_m04,guessword/1_artifice/GuessWord.java_m04,bubblesort/1_artifice/BubbleSort.java_main,railroadcar/1_artifice/RailRoadCar.java_m03,kaprekar/1_artifice/Kaprekar_Transformation.java_m11,SqrtAlgorithm/1_artifice/SqrtAlgorithm.java_m00,hanoi/1_artifice/Main.java_m10,InfixConverter/1_artifice/InfixConverter.java_m10,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a
guessword/1_artifice/GuessWord.java_m14,guessword/1_artifice/GuessWord.java_m14,bubblesort/1_artifice/BubbleSort.java_main,InfixConverter/1_artifice/InfixConverter.java_m20,kaprekar/1_artifice/Kaprekar_Transformation.java_m11,guessword/0_orig/GuessWord.java_ReadString,InfixConverter/test_0_orig_no_krakatau/InfixConverter.java_ReadString,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m14,guessword/test_0_orig_pg_krakatau/GuessWord.java_a
guessword/1_artifice/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main
guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m04,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main
guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString,InfixConverter/test_0_orig_no_krakatau/InfixConverter.java_ReadString,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m14,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java_m00,hanoi/test_0_orig_pg_krakatau/Main.java_main,hanoi/test_1_artifice_pg_krakatau/Main.java_main,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_main,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_main
guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main
guessword/test_0_orig_no_krakatau/GuessWord.java_GuessWord,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
guessword/test_0_orig_no_procyon/GuessWord.java_ReadWordsFromFile,guessword/test_1_artifice_no_procyon/GuessWord.java_m04,guessword/test_0_orig_no_procyon/GuessWord.java_ReadWordsFromFile,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/0_orig/GuessWord.java_ReadWordsFromFile,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,railroadcar/test_1_artifice_no_procyon/RailRoadCar.java_main
guessword/test_0_orig_no_procyon/GuessWord.java_ReadString,guessword/test_0_orig_no_procyon/GuessWord.java_ReadString,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m00,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_1_artifice_no_procyon/GuessWord.java_m14,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadString,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadInteger,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m10,kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java_a,kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java_m01
guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main
guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m04,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_main,bubblesort/test_0_orig_no_krakatau/BubbleSort.java_main
guessword/test_0_orig_pg_krakatau/GuessWord.java_a,InfixConverter/test_0_orig_no_krakatau/InfixConverter.java_ReadString,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m14,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java_m00,hanoi/test_0_orig_pg_krakatau/Main.java_main,hanoi/test_1_artifice_pg_krakatau/Main.java_main,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_main,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_main
guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main
guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_1_artifice_no_procyon/GuessWord.java_m04,guessword/test_0_orig_no_procyon/GuessWord.java_ReadWordsFromFile,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,guessword/0_orig/GuessWord.java_ReadWordsFromFile,guessword/1_artifice/GuessWord.java_m04
guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_0_orig_no_procyon/GuessWord.java_ReadString,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m00,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_1_artifice_no_procyon/GuessWord.java_m14,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadString,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadInteger,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m10,kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java_a,kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java_m01
guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main
guessword/test_1_artifice_no_krakatau/GuessWord.java_m04,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadWordsFromFile,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m04,bubblesort/test_0_orig_pg_krakatau/BubbleSort.java_main,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_main,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_main,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_main,railroadcar/test_0_orig_no_krakatau/RailRoadCar.java_main,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_main
guessword/test_1_artifice_no_krakatau/GuessWord.java_m14,InfixConverter/test_0_orig_no_krakatau/InfixConverter.java_ReadString,guessword/test_0_orig_no_krakatau/GuessWord.java_ReadString,guessword/test_1_artifice_pg_krakatau/GuessWord.java_a,guessword/test_1_artifice_no_krakatau/GuessWord.java_m14,guessword/test_0_orig_pg_krakatau/GuessWord.java_a,InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java_m00,hanoi/test_0_orig_pg_krakatau/Main.java_main,hanoi/test_1_artifice_pg_krakatau/Main.java_main,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_main,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_main
guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_krakatau/GuessWord.java_main,guessword/test_0_orig_no_krakatau/GuessWord.java_main,guessword/test_0_orig_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_pg_krakatau/GuessWord.java_main,guessword/test_1_artifice_no_procyon/GuessWord.java_main,guessword/test_0_orig_pg_procyon/GuessWord.java_main,guessword/test_1_artifice_pg_procyon/GuessWord.java_main,guessword/test_0_orig_no_procyon/GuessWord.java_main,guessword/0_orig/GuessWord.java_main,guessword/1_artifice/GuessWord.java_main
guessword/test_1_artifice_no_krakatau/GuessWord.java_GuessWord,guessword/test_1_artifice_pg_krakatau/GuessWord.java_GuessWord,SqrtAlgorithm/test_1_artifice_pg_krakatau/SqrtAlgorithm.java_SqrtAlgorithm,bubblesort/test_1_artifice_no_krakatau/BubbleSort.java_BubbleSort,bubblesort/test_1_artifice_pg_krakatau/BubbleSort.java_BubbleSort,guessword/test_0_orig_pg_krakatau/GuessWord.java_GuessWord,hanoi/test_1_artifice_pg_krakatau/Main.java_Main,InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java_InfixConverter,railroadcar/test_0_orig_pg_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java_RailRoadCar,railroadcar/test_1_artifice_pg_krakatau/RailRoadCar.java_RailRoadCar
guessword/test_1_artifice_no_procyon/GuessWord.java_m04,guessword/test_1_artifice_no_procyon/GuessWord.java_m04,guessword/test_0_orig_no_procyon/GuessWord.java_ReadWordsFromFile,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/0_orig/GuessWord.java_ReadWordsFromFile,bubblesort/test_1_artifice_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_no_procyon/BubbleSort.java_main,bubblesort/test_0_orig_pg_procyon/BubbleSort.java_main,bubblesort/test_1_artifice_pg_procyon/BubbleSort.java_main,railroadcar/test_1_artifice_no_procyon/RailRoadCar.java_main
guessword/test_1_artifice_no_procyon/GuessWord.java_m14,guessword/test_0_orig_no_procyon/GuessWord.java_ReadString,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m00,guessword/test_0_orig_pg_procyon/GuessWord.java_a,guessword/test_1_artifice_no_procyon/GuessWord.java_m14,guessword/test_1_artifice_pg_procyon/GuessWord.java_a,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadString,InfixConverter/test_0_orig_no_procyon/InfixConverter.java_ReadInteger,InfixConverter/test_1_artifice_no_procyon/InfixConverter.java_m10,kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java_a,kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java_m01
