0,Q,default/15247.java_elimina,57,80
10,R,selected/1693534.java_main,81,161,T1
11,R,selected/2689573.java_squeeze,92,322,F
12,R,selected/1094474.java_runGowerMetricThreadedMemory,40,449,F
13,R,selected/2277558.java_method,1,1242,F
14,R,selected/1867580.java_populateGO,43,199,F
15,R,default/68093.java_track,166,854,F
16,R,selected/1963974.java_ConflatePumsTractsPQTest,360,887,F
17,R,selected/2221655.java_process,350,750,F
18,R,selected/955150.java_readit,215,891,F
19,R,selected/721923.java_process,389,1067,F
20,R,selected/41801.java_deserialize,741,1055,F
21,R,selected/1759158.java_main,49,404,F
22,R,selected/2203842.java_ConflatePumsTracts,361,723,F
23,R,selected/2226629.java_main,37,323,F
24,R,selected/2219300.java_main,20,194,F
25,R,selected/655623.java_tryAdaptiveCoding,758,904,F
26,R,selected/2116899.java_prepareDataForReception,142,273,F
27,R,selected/794257.java_main,42,319,F
28,R,default/98947.java_method,1,493,F
29,R,default/7025.java_method,1,493,F
30,R,default/41436.java_method,1,493,F
31,R,default/35380.java_method,1,493,F
32,R,default/106099.java_method,1,493,F
33,R,selected/1791099.java_method,1,941,F
34,R,selected/719750.java_method,1,1230,F
35,R,selected/1029143.java_viewSVMmodelsInNLPFeatures,1041,1170,F
36,R,selected/342569.java_run,168,541,F
37,R,selected/1697335.java_calculateCentralityStat,683,938,F
38,R,selected/162419.java_pieceReorderTest,40,347,F
39,R,selected/1498959.java_invertMatrix,256,342,F
40,R,selected/104047.java_method,1,961,F
41,R,selected/466967.java_main,15,528,F
42,R,selected/1387815.java_compile,538,945,F
43,R,selected/2146875.java_run,195,513,F
44,R,selected/55555.java_method,1,1569,F
45,R,selected/588673.java_createCharinfo,349,498,F
46,R,selected/2735301.java_method,1,1971,F
47,R,selected/675849.java_doBackward,279,554,F
48,R,selected/2521103.java_main,18,182,F
49,R,selected/177482.java_main2,202,373,F
50,R,selected/275429.java_main,151,304,F
51,R,default/917.java_method,1,1312,F
52,R,default/129404.java_method,1,1312,F
53,R,default/110076.java_method,1,1312,F
54,R,selected/2410699.java_readRecord,239,1021,F
55,R,selected/2410369.java_process,346,626,F
56,R,selected/991506.java_main,162,242,F
57,R,selected/648778.java_createMosaic,39,139,F
58,R,selected/1317025.java_extractKeyphrases,302,428,F
59,R,selected/1960292.java_main,26,220,F
60,R,selected/710252.java_process,389,964,F
61,R,selected/940528.java_process,300,642,F
62,R,selected/580850.java_pruneEdges,180,359,F
63,R,selected/376371.java_pruneEdges,180,359,F
64,R,selected/1909494.java_pruneEdges,180,359,F
65,R,selected/20409.java_findArgmin,545,701,F
66,R,selected/8926.java_annotateModeAttribute,985,1092,F
67,R,selected/891291.java_upload,98,272,F
68,R,selected/2561399.java_process,448,1131,F
69,R,selected/325420.java_main,89,244,F
70,R,selected/1387815.java_run,542,937,F
71,R,selected/2410659.java_readSNPFileLinearModel,287,570,F
72,R,selected/2196307.java_getFECSplitFile,137,423,F
73,R,selected/1615422.java_main,754,902,F
74,R,selected/1327499.java_matchSignature,124,463,F
75,R,selected/2475935.java_schemataRace,693,849,F
76,R,default/96783.java_Huft,413,576,F
77,R,default/71298.java_Huft,413,576,F
78,R,default/118576.java_Huft,413,576,F
79,R,default/107585.java_Huft,413,576,F
80,R,default/106097.java_Huft,413,576,F
81,R,selected/2339054.java_method,1,1959,F
82,R,selected/273852.java_decompose,589,766,F
83,R,selected/1821592.java_decompose,589,766,F
84,R,selected/1923581.java_main,328,742,F
85,R,selected/1268507.java_main,42,369,F
86,R,selected/8526.java_main,367,705,F
87,R,selected/910311.java_putFECSplitFile,229,483,F
88,R,selected/1029716.java_main,1111,1398,F
89,R,selected/1126313.java_process,332,573,F
90,R,selected/2565572.java_process,297,556,F
91,R,selected/1342160.java_SobolRsg,888,1035,F
92,R,selected/1508236.java_schemataRace,782,938,F
93,R,selected/1707414.java_method,1,959,F
94,R,selected/727356.java_backupStore,169,206,F
95,R,selected/2038575.java_refresh,78,238,F
96,R,selected/365344.java_execute,388,538,F
97,R,selected/2029156.java_main,205,370,F
98,R,selected/1167323.java_getFile,1372,1529,F
99,R,default/82554.java_processForeachRegion,383,482,F
100,R,default/6871.java_processForeachRegion,383,482,F

0,Q,default/78884.java_copyFile,30,48
1,R,selected/871757.java_copyFile,711,729,T3
2,R,selected/169032.java_copyFile,187,205,T1
3,R,selected/1552187.java_copyFile,147,165,T1
4,R,selected/926926.java_copyFile,63,81,T1
5,R,selected/388654.java_copyFile,111,129,T3
6,R,selected/2556943.java_copyFile,11,29,T1
7,R,selected/2364800.java_copyFile,70,88,T1
8,R,selected/1921449.java_copyFile,65,83,T1
9,R,selected/1819337.java_copyFile,144,162,T3
10,R,selected/1676100.java_copyFile,297,315,T1
11,R,selected/138213.java_copyFile,35,53,T1
12,R,selected/1234284.java_copyFile,70,88,T1
13,R,selected/1113498.java_copy,86,104,T2
14,R,selected/572754.java_copyFile,19,37,T2
15,R,selected/702108.java_copyFile,45,63,T1
16,R,selected/1791697.java_copyFile,70,88,T3
17,R,selected/1574719.java_copyLocalFile,145,163,T3
18,R,selected/1435050.java_forcedCopy,199,217,T3
19,R,selected/1068957.java_copyFile,11,29,T2
20,R,selected/1524798.java_copyFile,43,61,T3
21,R,selected/418831.java_copyFile,80,100,T3
22,R,selected/2102326.java_copyFile,637,658,T3
23,R,selected/253429.java_copyFile,26,38,T3
24,R,selected/2377910.java_copyExternalResource,12,26,T3
25,R,default/93742.java_copyFile,55,74,T3
26,R,selected/1748547.java_copyFile,90,112,T3
27,R,selected/693554.java_copyFile,184,203,T3
28,R,selected/635623.java_copyFile,358,388,F
29,R,selected/668466.java_Copy,50,68,T3
30,R,selected/2358129.java_copyFile,91,111,T3
31,R,selected/1597770.java_copyFile,195,215,T3
32,R,selected/861428.java_copyFile,327,347,T3
33,R,selected/882365.java_copyFile,379,402,T3
34,R,selected/1354007.java_copyFile,158,170,T3
35,R,selected/1081859.java_copyFile,197,212,T3
36,R,selected/2374499.java_JFileCopy,12,34,F
37,R,selected/1085713.java_copyFile,37,76,F
38,R,selected/1777463.java_copyFile,195,223,F
39,R,selected/2133671.java_copyFile,89,111,F
40,R,selected/1761827.java_createCopy,86,102,T3
41,R,selected/1921449.java_copyInputStream,42,63,F
42,R,selected/1549695.java_copyFile,28,52,T3
43,R,selected/1379907.java_copyFile,196,225,F
44,R,selected/2458995.java_copyFile,26,49,F
45,R,selected/487627.java_copyFile,500,514,T3
46,R,selected/1815227.java_copyFile,11,27,F
47,R,selected/1571171.java_fileCopy,139,169,F
48,R,selected/2403960.java_copy,34,49,T3
49,R,selected/1675391.java_concatenateToDestFile,178,205,F
50,R,selected/2392587.java_copyFile,14,31,T3
51,R,selected/611638.java_copyFile,127,158,F
52,R,selected/1117740.java_copyFile,133,164,F
53,R,selected/1921666.java_copyFile,161,190,F
54,R,selected/417019.java_cloneFile,231,242,T3
55,R,selected/406256.java_copy,959,985,F
56,R,selected/1257026.java_copy,117,178,F
57,R,selected/1251282.java_copy,117,178,F
58,R,selected/302569.java_assertEqualContent,79,102,F
59,R,selected/1247990.java_assertEqualContent,169,192,F
60,R,selected/2535377.java_copy,103,139,F
61,R,selected/174244.java_copy,78,93,T3
62,R,selected/712665.java_copyFile,334,352,T3
63,R,selected/1257200.java_copyFile,379,397,T3
64,R,selected/2039312.java_copy,49,109,F
65,R,selected/1202173.java_copy,32,63,F
66,R,selected/1963485.java_copyFile,457,504,F
67,R,selected/589581.java_copy,61,96,F
68,R,selected/1920982.java_copyFile,162,180,F
69,R,selected/2502898.java_copy,393,454,F
70,R,selected/2505802.java_upLoadFile,359,378,T3
71,R,selected/957430.java_copyFile,483,506,T3
72,R,selected/2503164.java_copyFile,74,92,F
73,R,selected/372993.java_copyFile,40,66,F
74,R,selected/2432644.java_copyFile,218,236,F
75,R,default/78227.java_copyFile,26,44,F
76,R,default/71042.java_copyFile,26,44,F
77,R,default/70431.java_copyFile,26,44,F
78,R,default/61252.java_copyFile,26,44,F
79,R,default/56554.java_copyFile,26,44,F
80,R,default/55476.java_copyFile,26,44,F
81,R,default/4342.java_copyFile,26,44,F
82,R,default/26064.java_copyFile,26,44,F
83,R,default/25080.java_copyFile,26,44,F
84,R,default/24608.java_copyFile,26,44,F
85,R,default/19919.java_copyFile,26,44,F
86,R,default/115527.java_copyFile,26,44,F
87,R,default/100072.java_copyFile,26,44,F
88,R,selected/1902462.java_copyFile,155,175,T3
89,R,sample/CopyFileSamples.java_copyFile1,18,36,T3
90,R,selected/256068.java_fileCopy,335,356,T3
91,R,selected/2485251.java_fileCopy,198,219,T3
92,R,selected/440442.java_copy,27,64,F
93,R,selected/2299052.java_copy,157,198,F
94,R,selected/2713272.java_copyFile,17,80,F
95,R,selected/2347437.java_copyFile,17,35,F
96,R,selected/766506.java_copyToLibraryFolder,664,689,F
97,R,selected/350516.java_copyFile,144,162,F
98,R,selected/2288659.java_copyFile,266,286,F
99,R,selected/694246.java_copyFile,20,56,F
100,R,selected/2715363.java_copyFile,24,48,F

0,Q,default/21155.java_displayDiffResults,367,414
1,R,default/97193.java_displayDiffResults,367,414,T1
2,R,default/95983.java_displayDiffResults,367,414,T1
3,R,default/85302.java_displayDiffResults,367,414,F
4,R,default/80614.java_displayDiffResults,367,414,T1
5,R,default/75592.java_displayDiffResults,367,414,F
6,R,default/74307.java_displayDiffResults,367,414,T1
7,R,default/70932.java_displayDiffResults,367,414,T1
8,R,default/63608.java_displayDiffResults,367,414,T1
9,R,default/6169.java_displayDiffResults,367,414,T1
10,R,default/56486.java_displayDiffResults,367,414,T1
11,R,default/55710.java_displayDiffResults,367,414,T1
12,R,default/50941.java_displayDiffResults,367,414,T1
13,R,default/37949.java_displayDiffResults,367,414,F
14,R,default/36739.java_displayDiffResults,367,414,T1
15,R,default/29342.java_displayDiffResults,367,414,F
16,R,default/27443.java_displayDiffResults,367,414,F
17,R,default/2624.java_displayDiffResults,367,414,T1
18,R,default/19968.java_displayDiffResults,367,414,T1
19,R,default/19250.java_displayDiffResults,367,414,F
20,R,default/1761.java_displayDiffResults,367,414,T1
21,R,default/128812.java_displayDiffResults,367,414,T1
22,R,default/121978.java_displayDiffResults,367,414,F
23,R,default/105999.java_displayDiffResults,367,414,F
24,R,selected/2704374.java_generateDiffResults,363,404,T3
25,R,selected/1744128.java_roundTrip,73,98,F
26,R,selected/2091393.java_extractToTempFile,177,188,F
27,R,selected/840994.java_compress,76,103,F
28,R,selected/2701221.java_getBinaryFileContent,59,71,F
29,R,selected/1747448.java_verifyEntry,83,92,F
30,R,selected/844789.java_getTemplate,57,70,F
31,R,selected/1665656.java_getTemplate,80,93,F
32,R,selected/2304941.java_zipFile,257,269,F
33,R,selected/2046780.java_transfer,262,281,F
34,R,selected/2382683.java_viaDirectURI,116,136,F
35,R,selected/862317.java_writeToClient,149,162,F
36,R,selected/1869311.java_unzip,294,304,F
37,R,selected/1951170.java_compressFile,17,33,F
38,R,selected/2701221.java_writeBinaryFileContent,80,90,F
39,R,selected/314322.java_unzip,371,381,F
40,R,selected/1496769.java_copyFileToTmp,108,120,F
41,R,selected/1186751.java_uploadFile,327,344,F
42,R,selected/1185361.java_start,21,57,F
43,R,selected/612514.java_copyToTmp,257,268,F
44,R,default/24530.java_decompressFile,68,84,F
45,R,default/24530.java_compressFile,50,66,F
46,R,selected/2460933.java_ReadFile,262,275,F
47,R,selected/1218439.java_bytesFromFile,150,160,F
48,R,selected/1596984.java_getLocalResourcePath,82,100,F
49,R,selected/2285157.java_copyToTemp,55,64,F
50,R,selected/1694363.java_copyToTemp,44,53,F
51,R,selected/1377160.java_doPost,31,133,F
52,R,selected/2412437.java_copyFromOffset,55,66,F
53,R,selected/302603.java_getFileViaHTTPRequest,19,31,F
54,R,selected/1285150.java_getJPEGThumnails,493,530,F
55,R,selected/2560868.java_runExec,49,61,F
56,R,selected/1456329.java_saveFile,110,149,F
57,R,selected/990586.java_execute,24,37,F
58,R,selected/1199572.java_upload,57,68,F
59,R,selected/1119346.java_unzip,142,151,F
60,R,selected/963184.java_readFileAsString,32,44,F
61,R,selected/1637377.java_readFileAsString,26,38,F
62,R,default/36238.java_loadScript,165,177,F
63,R,selected/646024.java_createQueryFromFile,43,55,F
64,R,selected/547688.java_readFileAsString,42,54,F
65,R,selected/2612406.java_readFileAsString,222,234,F
66,R,selected/2249608.java_copy,137,147,F
67,R,selected/2237048.java_createQueryFromFile,22,34,F
68,R,selected/1655576.java_imprime,24,64,F
69,R,selected/1294524.java_run,1141,1260,F
70,R,selected/2053370.java_genId,56,117,F
71,R,selected/1591745.java_uncompress,57,67,F
72,R,selected/524072.java_copyToString,55,64,F
73,R,selected/1572621.java_initReader,631,766,F
74,R,selected/1944639.java_getData,40,53,F
75,R,selected/1958826.java_copyToLocalFile,206,219,F
76,R,selected/2441599.java_readFileIntoString,20,35,F
77,R,selected/2734466.java_put,43,55,F
78,R,selected/39844.java_pack,30,101,F
79,R,selected/1638905.java_backupDatabase,637,651,F
80,R,selected/527910.java_pipeStreams,61,70,F
81,R,selected/1006288.java_saveCopy,342,362,F
82,R,selected/382943.java_copyToLocalFile,550,562,F
83,R,selected/2551967.java_runAppleScript,1131,1140,F
84,R,selected/2471211.java_getMD5,42,58,F
85,R,selected/1138943.java_upload,68,102,F
86,R,selected/2685697.java_copy,64,106,F
87,R,selected/226776.java_copy,20,62,F
88,R,selected/1208371.java_copy,105,147,F
89,R,selected/1207917.java_copy,20,62,F
90,R,selected/1144005.java_copy_file,142,184,F
91,R,selected/1142350.java_copy,17,59,F
92,R,selected/1198207.java_extractArchive,150,175,F
93,R,selected/1712827.java_setResponse,115,130,F
94,R,selected/1047500.java_loadLicenseText,311,333,F
95,R,selected/987404.java_compressFile,33,46,F
96,R,selected/2042272.java_copyToTemporaryURLContent,27,49,F
97,R,selected/834723.java_setResponse,599,614,F
98,R,selected/1493909.java_storeStreamInFile,445,455,F
99,R,selected/1346316.java_saveImage,149,160,F
100,R,selected/1244195.java_setupConfigFile,11,22,F

0,Q,default/19968.java_displayDiffResults,367,414
1,R,default/97193.java_displayDiffResults,367,414,T1
2,R,default/95983.java_displayDiffResults,367,414,T1
3,R,default/85302.java_displayDiffResults,367,414,F
4,R,default/80614.java_displayDiffResults,367,414,T1
5,R,default/75592.java_displayDiffResults,367,414,F
6,R,default/74307.java_displayDiffResults,367,414,T1
7,R,default/70932.java_displayDiffResults,367,414,T1
8,R,default/63608.java_displayDiffResults,367,414,T1
9,R,default/6169.java_displayDiffResults,367,414,T1
10,R,default/56486.java_displayDiffResults,367,414,T1
11,R,default/55710.java_displayDiffResults,367,414,T1
12,R,default/50941.java_displayDiffResults,367,414,T1
13,R,default/37949.java_displayDiffResults,367,414,F
14,R,default/36739.java_displayDiffResults,367,414,T1
15,R,default/29342.java_displayDiffResults,367,414,F
16,R,default/27443.java_displayDiffResults,367,414,F
17,R,default/2624.java_displayDiffResults,367,414,T1
18,R,default/21155.java_displayDiffResults,367,414,F
19,R,default/19250.java_displayDiffResults,367,414,F
20,R,default/1761.java_displayDiffResults,367,414,T1
21,R,default/128812.java_displayDiffResults,367,414,T1
22,R,default/121978.java_displayDiffResults,367,414,F
23,R,default/105999.java_displayDiffResults,367,414,F
24,R,selected/2704374.java_generateDiffResults,363,404,T3
25,R,selected/1744128.java_roundTrip,73,98,F
26,R,selected/2091393.java_extractToTempFile,177,188,F
27,R,selected/840994.java_compress,76,103,F
28,R,selected/2701221.java_getBinaryFileContent,59,71,F
29,R,selected/1747448.java_verifyEntry,83,92,F
30,R,selected/844789.java_getTemplate,57,70,F
31,R,selected/1665656.java_getTemplate,80,93,F
32,R,selected/2304941.java_zipFile,257,269,F
33,R,selected/2046780.java_transfer,262,281,F
34,R,selected/2382683.java_viaDirectURI,116,136,F
35,R,selected/862317.java_writeToClient,149,162,F
36,R,selected/1869311.java_unzip,294,304,F
37,R,selected/1951170.java_compressFile,17,33,F
38,R,selected/2701221.java_writeBinaryFileContent,80,90,F
39,R,selected/314322.java_unzip,371,381,F
40,R,selected/1496769.java_copyFileToTmp,108,120,F
41,R,selected/1186751.java_uploadFile,327,344,F
42,R,selected/1185361.java_start,21,57,F
43,R,selected/612514.java_copyToTmp,257,268,F
44,R,default/24530.java_decompressFile,68,84,F
45,R,default/24530.java_compressFile,50,66,F
46,R,selected/2460933.java_ReadFile,262,275,F
47,R,selected/1218439.java_bytesFromFile,150,160,F
48,R,selected/1596984.java_getLocalResourcePath,82,100,F
49,R,selected/2285157.java_copyToTemp,55,64,F
50,R,selected/1694363.java_copyToTemp,44,53,F
51,R,selected/1377160.java_doPost,31,133,F
52,R,selected/2412437.java_copyFromOffset,55,66,F
53,R,selected/302603.java_getFileViaHTTPRequest,19,31,F
54,R,selected/1285150.java_getJPEGThumnails,493,530,F
55,R,selected/2560868.java_runExec,49,61,F
56,R,selected/1456329.java_saveFile,110,149,F
57,R,selected/990586.java_execute,24,37,F
58,R,selected/1199572.java_upload,57,68,F
59,R,selected/1119346.java_unzip,142,151,F
60,R,selected/963184.java_readFileAsString,32,44,F
61,R,selected/1637377.java_readFileAsString,26,38,F
62,R,default/36238.java_loadScript,165,177,F
63,R,selected/646024.java_createQueryFromFile,43,55,F
64,R,selected/547688.java_readFileAsString,42,54,F
65,R,selected/2612406.java_readFileAsString,222,234,F
66,R,selected/2249608.java_copy,137,147,F
67,R,selected/2237048.java_createQueryFromFile,22,34,F
68,R,selected/1655576.java_imprime,24,64,F
69,R,selected/1294524.java_run,1141,1260,F
70,R,selected/2053370.java_genId,56,117,F
71,R,selected/1591745.java_uncompress,57,67,F
72,R,selected/524072.java_copyToString,55,64,F
73,R,selected/1572621.java_initReader,631,766,F
74,R,selected/1944639.java_getData,40,53,F
75,R,selected/1958826.java_copyToLocalFile,206,219,F
76,R,selected/2441599.java_readFileIntoString,20,35,F
77,R,selected/2734466.java_put,43,55,F
78,R,selected/39844.java_pack,30,101,F
79,R,selected/1638905.java_backupDatabase,637,651,F
80,R,selected/527910.java_pipeStreams,61,70,F
81,R,selected/1006288.java_saveCopy,342,362,F
82,R,selected/382943.java_copyToLocalFile,550,562,F
83,R,selected/2551967.java_runAppleScript,1131,1140,F
84,R,selected/2471211.java_getMD5,42,58,F
85,R,selected/1138943.java_upload,68,102,F
86,R,selected/2685697.java_copy,64,106,F
87,R,selected/226776.java_copy,20,62,F
88,R,selected/1208371.java_copy,105,147,F
89,R,selected/1207917.java_copy,20,62,F
90,R,selected/1144005.java_copy_file,142,184,F
91,R,selected/1142350.java_copy,17,59,F
92,R,selected/1198207.java_extractArchive,150,175,F
93,R,selected/1712827.java_setResponse,115,130,F
94,R,selected/1047500.java_loadLicenseText,311,333,F
95,R,selected/987404.java_compressFile,33,46,F
96,R,selected/2042272.java_copyToTemporaryURLContent,27,49,F
97,R,selected/834723.java_setResponse,599,614,F
98,R,selected/1493909.java_storeStreamInFile,445,455,F
99,R,selected/1346316.java_saveImage,149,160,F
100,R,selected/1244195.java_setupConfigFile,11,22,F

0,Q,default/128812.java_displayDiffResults,367,414
1,R,default/97193.java_displayDiffResults,367,414,T1
2,R,default/95983.java_displayDiffResults,367,414,T1
3,R,default/85302.java_displayDiffResults,367,414,F
4,R,default/80614.java_displayDiffResults,367,414,T1
5,R,default/75592.java_displayDiffResults,367,414,F
6,R,default/74307.java_displayDiffResults,367,414,T1
7,R,default/70932.java_displayDiffResults,367,414,T1
8,R,default/63608.java_displayDiffResults,367,414,T1
9,R,default/6169.java_displayDiffResults,367,414,T1
10,R,default/56486.java_displayDiffResults,367,414,T1
11,R,default/55710.java_displayDiffResults,367,414,T1
12,R,default/50941.java_displayDiffResults,367,414,T1
13,R,default/37949.java_displayDiffResults,367,414,F
14,R,default/36739.java_displayDiffResults,367,414,T1
15,R,default/29342.java_displayDiffResults,367,414,F
16,R,default/27443.java_displayDiffResults,367,414,F
17,R,default/2624.java_displayDiffResults,367,414,T1
18,R,default/21155.java_displayDiffResults,367,414,F
19,R,default/19968.java_displayDiffResults,367,414,F
20,R,default/19250.java_displayDiffResults,367,414,F
21,R,default/1761.java_displayDiffResults,367,414,T1
22,R,default/121978.java_displayDiffResults,367,414,F
23,R,default/105999.java_displayDiffResults,367,414,F
24,R,selected/2704374.java_generateDiffResults,363,404,T3
25,R,selected/1744128.java_roundTrip,73,98,F
26,R,selected/2091393.java_extractToTempFile,177,188,F
27,R,selected/840994.java_compress,76,103,F
28,R,selected/2701221.java_getBinaryFileContent,59,71,F
29,R,selected/1747448.java_verifyEntry,83,92,F
30,R,selected/844789.java_getTemplate,57,70,F
31,R,selected/1665656.java_getTemplate,80,93,F
32,R,selected/2304941.java_zipFile,257,269,F
33,R,selected/2046780.java_transfer,262,281,F
34,R,selected/2382683.java_viaDirectURI,116,136,F
35,R,selected/862317.java_writeToClient,149,162,F
36,R,selected/1869311.java_unzip,294,304,F
37,R,selected/1951170.java_compressFile,17,33,F
38,R,selected/2701221.java_writeBinaryFileContent,80,90,F
39,R,selected/314322.java_unzip,371,381,F
40,R,selected/1496769.java_copyFileToTmp,108,120,F
41,R,selected/1186751.java_uploadFile,327,344,F
42,R,selected/1185361.java_start,21,57,F
43,R,selected/612514.java_copyToTmp,257,268,F
44,R,default/24530.java_decompressFile,68,84,F
45,R,default/24530.java_compressFile,50,66,F
46,R,selected/2460933.java_ReadFile,262,275,F
47,R,selected/1218439.java_bytesFromFile,150,160,F
48,R,selected/1596984.java_getLocalResourcePath,82,100,F
49,R,selected/2285157.java_copyToTemp,55,64,F
50,R,selected/1694363.java_copyToTemp,44,53,F
51,R,selected/1377160.java_doPost,31,133,F
52,R,selected/2412437.java_copyFromOffset,55,66,F
53,R,selected/302603.java_getFileViaHTTPRequest,19,31,F
54,R,selected/1285150.java_getJPEGThumnails,493,530,F
55,R,selected/2560868.java_runExec,49,61,F
56,R,selected/1456329.java_saveFile,110,149,F
57,R,selected/990586.java_execute,24,37,F
58,R,selected/1199572.java_upload,57,68,F
59,R,selected/1119346.java_unzip,142,151,F
60,R,selected/963184.java_readFileAsString,32,44,F
61,R,selected/1637377.java_readFileAsString,26,38,F
62,R,default/36238.java_loadScript,165,177,F
63,R,selected/646024.java_createQueryFromFile,43,55,F
64,R,selected/547688.java_readFileAsString,42,54,F
65,R,selected/2612406.java_readFileAsString,222,234,F
66,R,selected/2249608.java_copy,137,147,F
67,R,selected/2237048.java_createQueryFromFile,22,34,F
68,R,selected/1655576.java_imprime,24,64,F
69,R,selected/1294524.java_run,1141,1260,F
70,R,selected/2053370.java_genId,56,117,F
71,R,selected/1591745.java_uncompress,57,67,F
72,R,selected/524072.java_copyToString,55,64,F
73,R,selected/1572621.java_initReader,631,766,F
74,R,selected/1944639.java_getData,40,53,F
