file,cluster,method
SqrtAlgorithm/test_1_artifice_no_procyon/SqrtAlgorithm.java,31,public static double m00(final double n)
SqrtAlgorithm/0_orig/SqrtAlgorithm.java,32,public static void main(String[] args)
SqrtAlgorithm/1_artifice/SqrtAlgorithm.java,32,public static void main(String[] v21)
SqrtAlgorithm/test_0_orig_no_krakatau/SqrtAlgorithm.java,32,public static void main(String[] a)
SqrtAlgorithm/test_0_orig_no_procyon/SqrtAlgorithm.java,32,public static void main(final String[] array)
SqrtAlgorithm/test_1_artifice_no_krakatau/SqrtAlgorithm.java,32,public static void main(String[] a)
SqrtAlgorithm/test_1_artifice_no_procyon/SqrtAlgorithm.java,32,public static void main(final String[] array)
guessword/0_orig/GuessWord.java,34,public static void main(String[] args)
guessword/1_artifice/GuessWord.java,34,public static void main(String[] v12)
guessword/test_0_orig_no_krakatau/GuessWord.java,34,public static void main(String[] a)
guessword/test_0_orig_no_procyon/GuessWord.java,34,public static void main(final String[] array)
guessword/test_1_artifice_no_krakatau/GuessWord.java,34,public static void main(String[] a)
guessword/test_1_artifice_no_procyon/GuessWord.java,34,public static void main(final String[] array)
guessword/0_orig/GuessWord.java,35,public static int ReadWordsFromFile(String[] words)
guessword/1_artifice/GuessWord.java,35,public static int m04(String[] v0)
guessword/test_0_orig_no_krakatau/GuessWord.java,35,public static int ReadWordsFromFile(String[] a)
guessword/test_0_orig_no_procyon/GuessWord.java,35,public static int ReadWordsFromFile(final String[] array)
guessword/test_1_artifice_no_krakatau/GuessWord.java,35,public static int m04(String[] a)
guessword/test_1_artifice_no_procyon/GuessWord.java,35,public static int m04(final String[] array)
guessword/0_orig/GuessWord.java,36,public static String ReadString()
guessword/1_artifice/GuessWord.java,36,public static String m14()
guessword/test_0_orig_no_krakatau/GuessWord.java,36,public static String ReadString()
guessword/test_0_orig_no_procyon/GuessWord.java,36,public static String ReadString()
guessword/test_1_artifice_no_krakatau/GuessWord.java,36,public static String m14()
guessword/test_1_artifice_no_procyon/GuessWord.java,36,public static String m14()
kaprekar/0_orig/Kaprekar_Transformation.java,38,public static void main(String[] args)
kaprekar/1_artifice/Kaprekar_Transformation.java,38,public static void main(String[] v16)
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,38,public static void main(String[] a)
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,38,public static void main(final String[] array)
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,38,public static void main(String[] a)
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,38,public static void main(final String[] array)
kaprekar/0_orig/Kaprekar_Transformation.java,39,public static int ReadInteger()
kaprekar/1_artifice/Kaprekar_Transformation.java,39,public static int m01()
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,39,public static int ReadInteger()
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,39,public static int ReadInteger()
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,39,public static int m01()
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,39,public static int m01()
kaprekar/0_orig/Kaprekar_Transformation.java,40,static int ComputeKaprekarTranformation(int number)
kaprekar/1_artifice/Kaprekar_Transformation.java,40,static int m11(int v3)
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,40,static int ComputeKaprekarTranformation(int i)
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,40,static int ComputeKaprekarTranformation(final int n)
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,40,static int m11(int i)
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,40,static int m11(final int n)
railroadcar/0_orig/RailRoadCar.java,42,public static LinkedList Rearrange(LinkedList list)
railroadcar/1_artifice/RailRoadCar.java,42,public static LinkedList m03(LinkedList v0)
railroadcar/test_0_orig_no_krakatau/RailRoadCar.java,42,public static java.util.LinkedList Rearrange(java.util.LinkedList a)
railroadcar/test_0_orig_no_procyon/RailRoadCar.java,42,public static LinkedList Rearrange(final LinkedList list)
railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java,42,public static java.util.LinkedList m03(java.util.LinkedList a)
railroadcar/test_1_artifice_no_procyon/RailRoadCar.java,42,public static LinkedList m03(final LinkedList list)
railroadcar/0_orig/RailRoadCar.java,43,public static void main(String[] args)
railroadcar/1_artifice/RailRoadCar.java,43,public static void main(String[] v11)
railroadcar/test_0_orig_no_krakatau/RailRoadCar.java,43,public static void main(String[] a)
railroadcar/test_0_orig_no_procyon/RailRoadCar.java,43,public static void main(final String[] array)
railroadcar/test_1_artifice_no_krakatau/RailRoadCar.java,43,public static void main(String[] a)
railroadcar/test_1_artifice_no_procyon/RailRoadCar.java,43,public static void main(final String[] array)
square/0_orig/MagicSquare.java,44,"public void fill(int row, int col)"
square/1_artifice/MagicSquare.java,44,"public void m00(int v6, int v7)"
square/test_0_orig_no_krakatau/MagicSquare.java,44,"public void fill(int i, int i0)"
square/test_0_orig_no_procyon/MagicSquare.java,44,"public void fill(final int n, final int n2)"
square/test_1_artifice_no_krakatau/MagicSquare.java,44,"public void m00(int i, int i0)"
square/test_1_artifice_no_procyon/MagicSquare.java,44,"public void m00(final int n, final int n2)"
square/0_orig/MagicSquare.java,45,public boolean checkRows()
square/1_artifice/MagicSquare.java,45,public boolean m10()
square/test_0_orig_no_krakatau/MagicSquare.java,45,public boolean checkRows()
square/test_0_orig_no_procyon/MagicSquare.java,45,public boolean checkRows()
square/test_1_artifice_no_krakatau/MagicSquare.java,45,public boolean m10()
square/test_1_artifice_no_procyon/MagicSquare.java,45,public boolean m10()
square/0_orig/MagicSquare.java,46,public boolean checkCols()
square/1_artifice/MagicSquare.java,46,public boolean m20()
square/test_0_orig_no_krakatau/MagicSquare.java,46,public boolean checkCols()
square/test_0_orig_no_procyon/MagicSquare.java,46,public boolean checkCols()
square/test_1_artifice_no_krakatau/MagicSquare.java,46,public boolean m20()
square/test_1_artifice_no_procyon/MagicSquare.java,46,public boolean m20()
square/0_orig/MagicSquare.java,47,public boolean checkDiags()
square/1_artifice/MagicSquare.java,47,public boolean m30()
square/test_0_orig_no_krakatau/MagicSquare.java,47,public boolean checkDiags()
square/test_0_orig_no_procyon/MagicSquare.java,47,public boolean checkDiags()
square/test_1_artifice_no_krakatau/MagicSquare.java,47,public boolean m30()
square/test_1_artifice_no_procyon/MagicSquare.java,47,public boolean m30()
square/0_orig/MagicSquare.java,51,public String toString()
square/1_artifice/MagicSquare.java,51,public String toString()
square/test_0_orig_no_krakatau/MagicSquare.java,51,public String toString()
square/test_0_orig_no_procyon/MagicSquare.java,51,public String toString()
square/test_1_artifice_no_krakatau/MagicSquare.java,51,public String toString()
square/test_1_artifice_no_procyon/MagicSquare.java,51,public String toString()
