default,27502.java,14,19,3,T,,
selected,843174.java,20,28,3,T,,
selected,1315228.java,12,17,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
selected,943597.java,15,20,3,T,,
selected,2282501.java,15,25,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,730855.java,43,56,,F,,
selected,2626685.java,112,126,3,T,,
selected,189178.java,118,133,3,T,,
sample,DownloadWebpage.java,32,53,Q,,,
sample,DownloadWebpage.java,20,30,3,T,,
selected,1286479.java,59,102,3,T,,
sample,DownloadWebpage.java,55,67,3,T,,
selected,129106.java,331,343,3,T,CR,
selected,237460.java,240,249,,F,CR,
selected,1688089.java,265,274,,F,CR,
selected,113970.java,265,274,,F,CR,
selected,237460.java,259,268,,F,CR,
selected,1688089.java,284,293,,F,CR,
selected,113970.java,284,293,,F,CR,
selected,2024562.java,31,56,3,T,,
selected,756606.java,328,337,,F,,
selected,1063147.java,425,434,,F,,
selected,1360732.java,18,36,,F,,
selected,481749.java,250,278,,F,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
selected,2282501.java,15,25,3,T,,
selected,21175.java,69,83,,F,,
selected,2288080.java,25,31,,F,,
selected,943597.java,15,20,3,T,,
selected,2626685.java,112,126,3,T,,
sample,CopyFileSamples.java,55,61,Q,,,
sample,CopyFileSamples.java,63,69,2,T,,
selected,734567.java,14,24,3,T,CR,
sample,CopyFileSamples.java,42,53,3,T,,
selected,1720162.java,15,21,3,T,CR,
selected,300610.java,56,65,3,T,CR,
selected,100454.java,56,66,,F,CR,
selected,836722.java,118,126,3,T,,
selected,1823751.java,50,58,3,T,,
selected,77754.java,849,857,3,T,,
selected,591946.java,827,835,3,T,,
selected,499481.java,849,857,3,T,,
selected,2455851.java,855,863,3,T,,
selected,2077739.java,747,755,3,T,,
selected,684416.java,40,46,,F,,
selected,1704283.java,46,56,,F,,
sample,FileChooser.java,96,123,Q,,,
sample,FileChooser.java,67,94,2,T,,
sample,FileChooser.java,38,65,3,T,,
sample,FileChooser.java,9,36,3,T,,
selected,2174721.java,90,107,3,T,CR,**
selected,311720.java,105,114,3,T,CR,
selected,364620.java,29,37,3,T,CR,
selected,2628336.java,172,182,3,T,CR,**
selected,2037092.java,577,588,3,T,CR,
selected,977186.java,250,259,3,T,CR,
selected,2062971.java,79,91,3,T,CR,
selected,1234684.java,188,201,,F,,
selected,121433.java,14,27,,F,,
selected,845572.java,157,167,,F,,
selected,770870.java,180,188,,F,,
selected,1806957.java,17,39,,F,,
sample,LoadFont.java,14,19,Q,,,
sample,LoadFont.java,21,26,3,T,,
selected,2055524.java,27,45,3,T,,
selected,2340916.java,398,427,3,T,,
selected,2584533.java,68,89,3,T,,
default,131555.java,11,20,3,T,,
selected,1238225.java,19,33,,F,CR,
selected,948406.java,326,355,3,T,,
selected,1978177.java,82,91,,F,CR,
selected,169000.java,212,221,,F,CR,
selected,1113584.java,97,102,,F,CR,
selected,2261893.java,1191,1198,3,T,,
selected,383097.java,247,269,,F,CR,
selected,1446312.java,22,36,3,T,,
selected,2064356.java,208,224,3,T,,
selected,2171065.java,47,56,,F,,
sample,GCD.java,11,18,Q,,,
selected,2420319.java,467,474,2,T,CR,** exact code with different method signature
selected,1757323.java,273,280,2,T,CR,** exact code with different method signature
selected,25736.java,12,19,2,T,CR,** exact code with different method signature
selected,1326509.java,95,102,2,T,CR,** exact code with different method signature
selected,2437917.java,138,145,2,T,CR,** exact code with different method signature
selected,2323800.java,20,27,3,T,CR,** add Math.abs at the return statement.
selected,1106479.java,5,12,3,T,CR,** different check in the if statement.
selected,1671140.java,17,24,3,T,CR,** different statement ordering
selected,725302.java,248,255,3,T,,
selected,749776.java,58,65,3,T,CR,
default,45493.java,56,63,3,T,,
selected,1297932.java,196,203,,F,,
selected,955923.java,11,18,,F,,
selected,895458.java,11,18,,F,,
selected,882298.java,15,22,,F,,
sample,ExecuteExternalProcessAndReadInput.java,38,54,Q,,,
selected,1910464.java,94,103,3,T,CR,
selected,2003890.java,43,69,3,T,CR,
selected,1907505.java,22,29,3,T,CR,
default,32694.java,25,34,3,T,,
selected,1987088.java,479,494,3,T,CR,
selected,1239429.java,12,31,,F,CR,
selected,1797413.java,27,35,3,T,CR,* Interesting. Found another implementation.
selected,203831.java,147,163,3,T,CR,
selected,2125179.java,127,147,3,T,CR,
selected,523041.java,400,412,3,T,CR,
selected,1207194.java,71,101,,F,,
selected,2132338.java,8,14,,F,,
selected,1352764.java,19,45,,F,,
selected,910611.java,8,15,,F,,
selected,1112687.java,8,15,,F,,
sample,EncryptFile.java,16,37,Q,,,
selected,1538113.java,112,131,3,T,,
selected,707787.java,121,144,3,T,,
selected,1995913.java,114,125,3,T,,
selected,1538113.java,165,184,,F,CR,
selected,707787.java,163,186,,F,CR,
selected,1675391.java,517,527,,F,CR,
default,63589.java,1081,1089,,F,CR,
default,34119.java,1081,1089,,F,CR,
selected,1583048.java,140,151,,F,CR,
selected,2249608.java,137,147,,F,CR,
selected,1383568.java,70,83,,F,,
selected,2666844.java,737,748,,F,,
selected,476073.java,77,92,,F,,
selected,2635814.java,20,56,3,T,,
selected,1252402.java,334,355,,F,CR,
sample,BubbleSort.java,75,91,Q,,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,57,73,Q,,,
sample,BubbleSort.java,21,37,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,BubbleSort.java,93,109,3,T,,
sample,BubbleSort.java,201,217,3,T,,
sample,BubbleSort.java,238,254,3,T,,
default,87418.java,21,37,3,T,,
sample,BubbleSort.java,39,55,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,2343688.java,174,187,,F,,
sample,CreateRSAKeys.java,34,54,Q,,,
selected,2178771.java,30,37,3,T,,
selected,2188583.java,37,47,3,T,CR,
sample,CreateRSAKeys.java,27,32,3,T,,
selected,1471929.java,13,28,3,T,CR,
selected,108370.java,19,35,3,T,CR,** similar method to generate public-private key
selected,2166933.java,70,131,,F,CR,** contain the key pair generation in a method
selected,2245475.java,21,43,3,T,CR,
selected,2739154.java,41,51,3,T,CR,
selected,2175564.java,42,52,3,T,CR,
selected,2322320.java,27,37,3,T,CR,** similar method to generate public-private key
selected,1853159.java,90,184,,F,,
selected,405001.java,29,56,,F,,
selected,2739154.java,109,127,,F,,
selected,2175564.java,110,128,,F,,
selected,588933.java,25,37,,F,,
sample,InstantiateNamedClassUsingReflection.java,7,12,Q,,,
selected,296454.java,121,127,3,T,,
sample,CallMethodUsingReflection.java,20,26,,F,CR,
selected,2282446.java,39,45,3,T,CR,
selected,1580512.java,39,45,3,T,CR,
selected,1830290.java,32,37,3,T,CR,
selected,554105.java,89,98,3,T,CR,
selected,2714749.java,250,259,3,T,CR,** good example of T3 for object instantiation
sample,CallMethodUsingReflection.java,8,18,,F,CR,
selected,2366019.java,33,38,3,T,CR,
selected,209555.java,97,105,3,T,CR,
selected,1028166.java,63,70,3,T,CR,
selected,2544196.java,11,19,,F,,
selected,517115.java,7,12,,F,,
selected,287304.java,32,43,,F,CR,
selected,2314628.java,11,16,,F,,
sample,ShuffleArrayInPlace.java,50,66,Q,,,
sample,ShuffleArrayInPlace.java,16,32,3,T,,
selected,1999677.java,7,15,3,T,,
selected,918764.java,37,45,3,T,,
selected,500289.java,21,33,3,T,CR,
selected,1812293.java,181,190,3,T,CR,** good example of shuffling T3 with lots of differences
selected,1563205.java,196,204,3,T,CR,** another good example of T3
selected,1791798.java,14,22,3,T,,
selected,2638398.java,52,61,3,T,CR,*** good example of T3 with lots of differences
selected,134388.java,30,40,3,T,CR,** good example of T3 used shuffling for addresses
default,42085.java,58,69,3,T,,
selected,164450.java,29,37,3,T,,
selected,913640.java,78,87,3,T,,
selected,2165539.java,214,224,,F,,
default,91887.java,342,349,,F,,
default,64667.java,342,349,,F,,
sample,CopyDirectoryTree.java,18,27,Q,,,
selected,1977804.java,198,208,,F,CR,
sample,CopyDirectoryTree.java,30,44,3,T,,
selected,2409256.java,223,362,,F,CR,
selected,2578751.java,308,322,,F,CR,
sample,DeleteFolderRecursively.java,20,51,,F,CR,
selected,619765.java,383,388,,F,CR,
selected,619765.java,441,447,,F,CR,
selected,619765.java,433,439,,F,CR,
selected,2468569.java,146,152,,F,CR,
selected,619765.java,375,381,,F,CR,
selected,1942656.java,60,69,,F,CR,
selected,1658160.java,140,154,,F,,
selected,675060.java,1327,1335,,F,,
selected,2268007.java,223,242,,F,,
selected,496368.java,29,44,,F,,
sample,OpenURLInSystemBrowser.java,8,15,Q,,,
sample,OpenFileInDesktopApp.java,7,14,3,T,CR,** good example of T3 with a slightly different implementation
selected,2494793.java,140,151,3,T,,
selected,1033681.java,119,130,3,T,,
selected,1144523.java,38,47,3,T,,
selected,683881.java,1208,1214,,F,CR,
selected,2327701.java,17,27,3,T,,
selected,2592168.java,86,99,3,T,,
selected,2480556.java,159,168,3,T,,
selected,2470676.java,124,133,3,T,,
selected,2022414.java,91,101,3,T,,
selected,127373.java,412,421,3,T,,
selected,737213.java,189,200,3,T,,
selected,173024.java,60,72,3,T,,
selected,2543450.java,78,88,3,T,,
selected,2042278.java,160,169,3,T,,
sample,getMACAddresInStandardForm.java,9,25,Q,,,
selected,2706991.java,35,45,3,T,CR,** good example of T3
sample,getMACAddresInStandardForm.java,27,39,3,T,,
default,130700.java,145,156,,F,CR,?? found digested message instead
selected,598562.java,32,43,,F,CR,?? found digested message instead
selected,1610413.java,306,318,3,T,,
selected,2511328.java,47,56,,F,CR,?? found digested message instead
selected,2117024.java,55,74,,F,CR,?? found digested message instead
selected,2068823.java,195,208,,F,CR,
selected,1384795.java,88,107,3,T,CR,** good example of T3
selected,941333.java,307,319,,F,CR,
selected,1062546.java,85,94,,F,CR,
selected,1825954.java,16,33,,F,CR,
default,118421.java,61,77,,F,CR,?? found digested message instead
default,115034.java,61,77,,F,,
selected,228468.java,81,93,,F,,
sample,CopyFileSamples.java,42,53,Q,,,
selected,908557.java,36,46,2,T,CR,
selected,751183.java,31,41,2,T,CR,
selected,640539.java,399,409,2,T,CR,
selected,565789.java,14,24,2,T,CR,
selected,53561.java,113,123,2,T,CR,
selected,479313.java,63,73,2,T,CR,
selected,464874.java,141,151,2,T,CR,
selected,375533.java,22,32,3,T,CR,
selected,327922.java,197,207,2,T,CR,
selected,2608816.java,13,23,2,T,CR,
selected,2594757.java,30,40,,F,,
selected,2404381.java,40,50,,F,,
selected,2279865.java,41,51,,F,,
selected,2223030.java,41,51,,F,,
selected,2127394.java,83,93,,F,,
sample,UnZip.java,3,44,Q,,,
sample,UnZip.java,46,83,3,T,,
selected,1170594.java,21,56,3,T,CR,** different implementation of unzip
selected,818894.java,137,147,,F,CR,
selected,2260355.java,413,431,3,T,CR,** different implementation of unzip (jar unpacking)
selected,1982205.java,96,126,3,T,CR,
selected,1889702.java,18,35,3,T,CR,** different implementation of unzip (tar)
selected,595078.java,59,79,3,T,CR,** different implementation of unzip (tar)
selected,645735.java,71,101,3,T,CR,
selected,1889702.java,37,69,3,T,CR,
selected,1393490.java,34,62,3,T,CR,
selected,2616591.java,12,25,,F,,
selected,1689613.java,136,157,,F,,
selected,986605.java,95,122,,F,,
selected,2082697.java,43,55,,F,,
selected,1604703.java,252,279,,F,,
sample,FileChooser.java,67,94,Q,,,
sample,FileChooser.java,96,123,2,T,,
sample,FileChooser.java,38,65,3,T,,
sample,FileChooser.java,9,36,3,T,,
selected,2174721.java,90,107,3,T,CR,
selected,311720.java,105,114,,F,CR,** find choose directory instead
selected,2037092.java,577,588,3,T,CR,
selected,977186.java,250,259,3,T,CR,
selected,845572.java,157,167,3,T,CR,
selected,364620.java,29,37,,F,CR,** find choose directory instead
selected,121433.java,14,27,3,T,CR,
selected,2628336.java,172,182,3,T,CR,
selected,2062971.java,79,91,,F,,
selected,859885.java,272,282,,F,,
selected,770870.java,180,188,,F,,
selected,900355.java,106,125,,F,,
sample,ShuffleArrayInPlace.java,34,48,Q,,,
selected,918764.java,7,15,3,T,,
selected,918764.java,17,25,3,T,,
selected,918764.java,27,35,3,T,,
selected,1632131.java,1207,1214,3,T,,
selected,918764.java,37,45,3,T,,
selected,1132772.java,48,55,3,T,,
selected,1833863.java,95,103,3,T,,
selected,662269.java,77,85,3,T,,
selected,2702525.java,70,78,3,T,,
selected,273852.java,891,898,3,T,,
selected,1821592.java,891,898,3,T,,
selected,1791798.java,24,32,3,T,,
selected,1791798.java,34,42,3,T,,
selected,1791798.java,44,52,3,T,,
selected,1791798.java,54,62,3,T,,
sample,MD5.java,2,11,Q,,,
selected,1508294.java,111,126,3,T,,
selected,1077933.java,25,40,3,T,,
selected,1192485.java,22,36,3,T,,
selected,712709.java,12,26,3,T,,
selected,542382.java,191,206,3,T,,
selected,1957335.java,147,162,3,T,,
selected,151366.java,191,206,3,T,,
selected,1421935.java,285,300,3,T,,
selected,773465.java,95,111,3,T,,
selected,1681494.java,89,105,3,T,,
selected,59611.java,45,58,,F,,
selected,2449933.java,184,190,,F,CR,
selected,723422.java,78,102,3,T,,
selected,2362524.java,18,34,,F,,
selected,1323895.java,177,187,3,T,,
sample,SendEMail.java,15,48,Q,,,
selected,1829739.java,14,38,3,T,CR,
selected,2098269.java,21,46,3,T,CR,
selected,1387379.java,24,54,3,T,CR,
selected,660010.java,69,94,3,T,,
selected,2665636.java,234,260,3,T,,
selected,660010.java,41,67,3,T,,
default,31489.java,1,62,3,T,CR,
selected,504335.java,29,53,3,T,CR,
selected,856760.java,21,52,3,T,,
selected,1120534.java,20,47,3,T,CR,
selected,81984.java,18,41,3,T,CR,
selected,1326321.java,30,60,3,T,CR,
selected,1070086.java,39,64,,F,,
selected,1689071.java,40,71,,F,,
selected,708096.java,971,996,,F,,
sample,ConnectToDatabaseJDBC.java,8,20,Q,,,
sample,ConnectToDatabaseJDBC.java,21,26,3,T,,
selected,1107284.java,32,39,3,T,CR,
selected,1521237.java,37,52,3,T,CR,** good example of T3 (Oracle variation of JDBC connection)
selected,1829483.java,44,55,3,T,CR,** variation of BPH database
selected,2024022.java,77,85,3,T,CR,
selected,2649921.java,33,43,3,T,CR,
selected,1094793.java,631,646,3,T,CR,
selected,990870.java,60,72,3,T,CR,
selected,468180.java,21,29,3,T,CR,
selected,1061495.java,35,41,3,T,CR,
selected,1283008.java,284,291,,F,,
selected,2666511.java,441,448,,F,,
default,13636.java,17,22,3,T,CR,** another different variation of T3
selected,2431745.java,64,73,,F,,
selected,1521237.java,81,95,3,T,CR,** MySQL
sample,BubbleSort.java,219,236,Q,,,
selected,1107941.java,295,311,3,T,CR,** variation of array instead of comparable
sample,BubbleSort.java,238,254,3,T,,
selected,1872351.java,5,18,3,T,CR,** good example of T3
selected,260759.java,19,33,3,T,CR,** different implementation of bubble sort
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,97366.java,40,56,3,T,,
selected,260759.java,44,60,,F,,
selected,1681937.java,11,24,,F,,
selected,1695775.java,96,110,3,T,,
selected,1203062.java,12,27,3,T,CR,** good example of T3
sample,GCD.java,36,42,Q,,,
selected,334423.java,690,696,2,T,CR,** good example of T2
selected,814007.java,61,67,3,T,,
selected,618936.java,13,19,3,T,CR,
selected,2496352.java,154,159,3,T,CR,
selected,2340088.java,154,159,3,T,CR,
selected,943768.java,419,424,3,T,CR,
selected,700821.java,57,62,3,T,CR,
selected,296655.java,63,68,3,T,CR,
selected,2705721.java,7,13,3,T,,
selected,289958.java,14,19,3,T,CR,
selected,2360126.java,300,308,,F,,
selected,1146472.java,98,107,,F,,
selected,1242414.java,52,58,3,T,,
selected,462014.java,60,66,,F,CR,
selected,1108780.java,137,144,,F,,
sample,CopyFileSamples.java,18,36,Q,,,
selected,926926.java,63,81,3,T,,
selected,702108.java,45,63,3,T,,
selected,2556943.java,11,29,3,T,,
selected,2364800.java,70,88,3,T,,
selected,1921449.java,65,83,3,T,,
selected,169032.java,187,205,3,T,,
selected,1676100.java,297,315,3,T,,
selected,1552187.java,147,165,3,T,,
selected,138213.java,35,53,3,T,,
selected,1234284.java,70,88,3,T,,
selected,1113498.java,86,104,3,T,,
default,78884.java,30,48,3,T,,
selected,2661115.java,49,64,3,T,,
selected,871757.java,711,729,3,T,,
selected,388654.java,111,129,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
selected,2282501.java,15,25,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
selected,2288080.java,25,31,3,T,CR,** good example of T3
selected,1045878.java,30,42,,F,,
selected,1234261.java,382,412,3,T,,
selected,943597.java,15,20,3,T,,
sample,BubbleSort.java,3,19,Q,,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
selected,372059.java,33,47,3,T,,
sample,DBUpdateAndRollback.java,10,29,Q,,,
sample,DBUpdateAndRollback.java,31,50,3,T,,
selected,338941.java,20,32,3,T,CR,
selected,230944.java,72,100,3,T,CR,
selected,1832911.java,34,47,,F,CR,
selected,716406.java,174,194,3,T,CR,
selected,2507055.java,165,185,3,T,CR,
selected,1692992.java,169,189,3,T,CR,
selected,2047987.java,145,165,,F,CR,
selected,1437030.java,101,110,,F,,
selected,1614129.java,176,196,3,T,CR,
selected,1470498.java,176,196,3,T,CR,
selected,622755.java,190,199,,F,,
selected,2414036.java,248,263,,F,,
selected,2616844.java,53,70,,F,,
selected,1676119.java,33,43,,F,,
sample,ConnectToDatabaseJDBC.java,21,26,Q,,,
sample,ConnectToDatabaseJDBC.java,8,20,3,T,,
selected,2649921.java,33,43,3,T,CR,
selected,468180.java,21,29,3,T,CR,
selected,778518.java,15,22,3,T,CR,
selected,951823.java,56,66,3,T,CR,
selected,156670.java,18,23,3,T,CR,
selected,1012811.java,21,33,3,T,CR,
selected,268711.java,35,47,3,T,CR,
selected,2606900.java,27,32,3,T,CR,
selected,415463.java,99,112,,F,CR,
default,13636.java,17,22,3,T,CR,
selected,1004927.java,23,29,,F,,
selected,2276998.java,31,36,,F,,
selected,908080.java,398,407,,F,,
selected,2284047.java,57,66,,F,,
sample,CallMethodUsingReflection.java,8,18,Q,,,
selected,829101.java,144,152,3,T,CR,**
selected,1648080.java,149,157,3,T,CR,**
sample,CallMethodUsingReflection.java,20,26,3,T,,
selected,1397661.java,92,102,3,T,CR,** good example of T3
selected,1397661.java,119,128,3,T,CR,** good example of T3
selected,1694875.java,391,412,3,T,CR,** lots of catch statements
selected,774368.java,20,41,3,T,CR,** lots of catch statements
selected,1772743.java,308,319,3,T,CR,
selected,955731.java,66,79,3,T,CR,
selected,1397661.java,108,117,3,T,CR,
selected,1580755.java,161,170,,F,,
selected,282375.java,8,23,3,T,CR,** quite different implementation
selected,1602656.java,8,23,3,T,CR,** quite different implementation
selected,551474.java,46,56,,F,,
selected,1911746.java,43,53,,F,,
sample,BubbleSort.java,147,163,Q,,,
sample,BubbleSort.java,111,127,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
sample,BubbleSort.java,165,181,3,T,,
sample,CallMethodUsingReflection.java,20,26,Q,,,
sample,CallMethodUsingReflection.java,8,18,3,T,,
sample,CallMethodUsingReflection.java,28,45,3,T,,
selected,1430582.java,38,50,3,T,CR,** Interesting. Found a test case.
sample,InstantiateNamedClassUsingReflection.java,7,12,,F,CR,
selected,829101.java,144,152,3,T,CR,
selected,1648080.java,149,157,3,T,CR,
selected,2262946.java,38,43,3,T,CR,
selected,2733283.java,28,38,3,T,CR,
selected,62673.java,158,163,3,T,CR,
selected,2544196.java,11,19,3,T,CR,
selected,244370.java,110,120,3,T,CR,
selected,1582748.java,134,144,3,T,CR,
selected,56283.java,97,119,,F,,
selected,1805.java,21,28,,F,,
selected,130864.java,48,53,,F,,
sample,BubbleSort.java,111,127,Q,,,
sample,BubbleSort.java,147,163,3,T,,
sample,BubbleSort.java,3,19,3,T,,
sample,BubbleSort.java,39,55,3,T,,
sample,BubbleSort.java,75,91,3,T,,
sample,BubbleSort.java,183,199,3,T,,
selected,12404.java,62,76,3,T,,
selected,579037.java,225,237,3,T,,
selected,1695775.java,96,110,3,T,,
default,6459.java,58,74,3,T,,
default,61517.java,58,74,3,T,,
default,102270.java,58,74,3,T,,
selected,2467194.java,201,216,3,T,,
selected,1339849.java,72,85,3,T,,
sample,BubbleSort.java,219,236,3,T,,
sample,BubbleSort.java,129,145,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,Q,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,
selected,2282501.java,15,25,3,T,,
