selected,675874.java,56,87,,F,,,
selected,1446312.java,22,36,3,T,,,
selected,976755.java,137,150,,F,,,
sample,GCD.java,11,18,Q,,,,
selected,2420319.java,467,474,2,T,CR,** exact code with different method signature,
selected,1757323.java,273,280,2,T,CR,** exact code with different method signature,
selected,25736.java,12,19,2,T,CR,** exact code with different method signature,
selected,1326509.java,95,102,2,T,CR,** exact code with different method signature,
selected,2437917.java,138,145,2,T,CR,** exact code with different method signature,
selected,725302.java,248,255,3,T,,,
selected,749776.java,58,65,3,T,CR,,
default,45493.java,56,63,3,T,,,
selected,1297932.java,196,203,3,T,CR,,
selected,2180707.java,47,57,3,T,CR,,
selected,1898130.java,371,379,3,T,CR,,
selected,1671140.java,17,24,3,T,CR,** different statement ordering,
selected,2323800.java,20,27,3,T,CR,** add Math.abs at the return statement.,
selected,2670230.java,48,56,3,T,,,
default,42487.java,134,141,3,T,,,
sample,ExecuteExternalProcessAndReadInput.java,38,54,Q,,,,
selected,1910464.java,94,103,3,T,CR,,
default,32694.java,25,34,3,T,,,
selected,1797413.java,27,35,3,T,CR,* Use a different method to exectute external process,
selected,2003890.java,43,69,3,T,CR,* A more detailed version ,
selected,1352764.java,19,45,3,T,CR,* A more detailed version ,
selected,1660205.java,120,132,3,T,CR,,
selected,1907505.java,22,29,3,T,CR,,
selected,1987088.java,479,494,3,T,CR,,
default,136294.java,5,21,3,T,,,
selected,560818.java,112,130,3,T,CR,* with additional statements at the end,
selected,1207194.java,71,101,,F,,,
selected,2473422.java,137,156,,F,,,
selected,986680.java,218,236,,F,,,
selected,1720103.java,14,23,,F,,,
selected,157734.java,531,550,,F,,,
sample,EncryptFile.java,16,37,Q,,,,
selected,1538113.java,112,131,3,T,,,
selected,707787.java,121,144,3,T,,,
selected,1995913.java,114,125,3,T,,,
selected,1538113.java,165,184,,F,CR,* found decrypt instead,
selected,1626807.java,305,326,3,T,,,
selected,2666844.java,737,748,,F,CR,* found copy file instead,
selected,1235851.java,74,92,3,T,,,
selected,709312.java,11,22,,F,CR,* found copy file instead,
selected,707787.java,163,186,,F,CR,* found decrypt instead,
default,118661.java,400,411,3,T,,,
selected,2299742.java,1078,1089,,F,,,
selected,1765222.java,241,252,,F,,,
selected,745958.java,115,125,,F,,,
default,23525.java,388,398,,F,,,
selected,2635814.java,20,56,3,T,,,
sample,BubbleSort.java,75,91,Q,,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,BubbleSort.java,57,73,Q,,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
default,87418.java,21,37,3,T,,,
selected,2343688.java,174,187,,F,,,
sample,CreateRSAKeys.java,34,54,Q,,,,
sample,CreateRSAKeys.java,27,32,3,T,,,
selected,2188583.java,37,47,3,T,CR,,
selected,2178771.java,30,37,3,T,,,
selected,108370.java,19,35,3,T,CR,** similar method to generate public-private key,
selected,2245475.java,21,43,3,T,CR,* DSA keypair,
selected,1471929.java,13,28,3,T,CR,,
selected,2739154.java,41,51,3,T,CR,,
selected,2175564.java,42,52,3,T,CR,,
selected,1950322.java,339,345,,F,CR,* found saveObject() instead,
selected,2739154.java,109,127,3,T,CR,,
selected,2175564.java,110,128,,F,,,
selected,1481756.java,56,61,,F,,,
selected,2322320.java,27,37,3,T,CR,** similar method to generate public-private key,
selected,884960.java,52,100,,F,,,
selected,806820.java,97,138,,F,,,
sample,InstantiateNamedClassUsingReflection.java,7,12,Q,,,,
sample,CallMethodUsingReflection.java,20,26,,F,CR,* found method invocation instead,
selected,296454.java,121,127,3,T,,,
sample,CallMethodUsingReflection.java,8,18,,F,CR,* found method invocation instead,
selected,209555.java,97,105,3,T,CR,,
selected,1830290.java,32,37,3,T,CR,,
selected,1235817.java,97,102,3,T,CR,,
selected,554105.java,89,98,3,T,CR,,
sample,CallMethodUsingReflection.java,28,45,,F,CR,* found method invocation instead,
selected,2262946.java,38,43,3,T,CR,,
selected,517115.java,7,12,3,T,CR,,
selected,2544196.java,11,19,3,T,CR,* found a more detailed version with method invocation,
selected,2300994.java,40,52,3,T,CR,* a conditional version,
selected,2282446.java,39,45,3,T,CR,,
selected,1580512.java,39,45,3,T,CR,,
selected,2526596.java,143,148,,F,,,
sample,ShuffleArrayInPlace.java,50,66,Q,,,,
sample,ShuffleArrayInPlace.java,16,32,3,T,,,
selected,918764.java,37,45,3,T,,,
sample,ShuffleArrayInPlace.java,34,48,3,T,,,
selected,2212093.java,113,121,3,T,CR,,
default,91887.java,342,349,3,T,CR,,
default,64667.java,342,349,3,T,CR,,
selected,1999677.java,7,15,3,T,,,
selected,134388.java,30,40,3,T,CR,* found a version that swaps array of addresses,
selected,918764.java,7,15,3,T,,,
selected,918764.java,17,25,3,T,,,
selected,918764.java,27,35,3,T,,,
selected,2644288.java,12,19,3,T,,,
selected,1632131.java,1216,1223,,F,,,
selected,164450.java,29,37,3,T,,,
default,42085.java,58,69,3,T,,,
sample,CopyDirectoryTree.java,18,27,Q,,,,
sample,CopyDirectoryTree.java,30,44,3,T,,,
sample,DeleteFolderRecursively.java,20,51,,F,CR,* found delete folder instead,
selected,2409256.java,223,362,,F,CR,,
selected,619765.java,383,388,,F,CR,,
selected,619765.java,441,447,,F,CR,,
selected,619765.java,433,439,,F,CR,,
selected,2468569.java,146,152,,F,CR,,
selected,1658160.java,140,154,,F,CR,,
selected,2578751.java,308,322,,F,CR,,
selected,2268007.java,223,242,,F,CR,,
selected,619765.java,375,381,,F,CR,,
selected,1977804.java,198,208,,F,CR,,
selected,2675844.java,195,200,,F,,,
selected,1448352.java,696,705,,F,,,
selected,2675844.java,177,182,,F,,,
sample,OpenURLInSystemBrowser.java,8,15,Q,,,,
sample,OpenFileInDesktopApp.java,7,14,,F,,,
selected,2592168.java,86,99,3,T,,,
selected,2494793.java,140,151,3,T,,,
selected,1144523.java,38,47,3,T,,,
selected,1033681.java,119,130,3,T,,,
selected,2480556.java,159,168,3,T,,,
selected,2470676.java,124,133,3,T,,,
selected,2022414.java,91,101,3,T,,,
selected,127373.java,412,421,3,T,,,
selected,2543450.java,78,88,3,T,,,
selected,2042278.java,160,169,3,T,,,
selected,1370230.java,78,88,3,T,,,
selected,1006039.java,165,175,3,T,,,
selected,737213.java,189,200,3,T,,,
selected,2327701.java,17,27,3,T,,,
sample,getMACAddresInStandardForm.java,9,25,Q,,,,
selected,2706991.java,35,45,3,T,CR,** good example of T3,
sample,getMACAddresInStandardForm.java,27,39,3,T,,,
selected,1610413.java,306,318,3,T,,,
selected,2068823.java,195,208,,F,CR,* found computing a message digest instead,
selected,1384795.java,88,107,3,T,CR,** good example of T3,
selected,1373426.java,339,366,3,T,,,
selected,2330473.java,91,108,,F,CR,* found get IP instead,
selected,1825954.java,16,33,,F,CR,* found computing a message digest instead,
selected,836184.java,128,143,,F,CR,* found get IP instead,
selected,34035.java,207,222,,F,CR,* found get IP instead,
selected,834341.java,220,236,,F,,,
selected,802956.java,220,236,,F,,,
selected,414251.java,150,166,,F,,,
selected,2710018.java,150,166,,F,,,
default,130700.java,145,156,,F,CR,?? found digested message instead,
sample,CopyFileSamples.java,42,53,Q,,,,
selected,574710.java,21,35,3,T,CR,,
selected,749840.java,80,90,3,T,CR,,
selected,729469.java,77,87,3,T,CR,,
selected,389558.java,190,200,3,T,CR,,
selected,2411797.java,196,206,3,T,CR,,
selected,970476.java,67,77,3,T,CR,,
selected,731475.java,599,609,3,T,CR,,
selected,699979.java,218,228,3,T,CR,,
selected,691395.java,156,166,3,T,CR,,
selected,682552.java,108,118,3,T,CR,,
selected,666556.java,108,118,,F,,,
selected,535910.java,370,380,,F,,,
selected,411734.java,143,153,,F,,,
selected,345735.java,232,242,,F,,,
selected,2522256.java,133,143,,F,,,
sample,UnZip.java,3,44,Q,,,,
sample,UnZip.java,46,83,3,T,,,
selected,1170594.java,21,56,3,T,CR,* quite a different version,
selected,889273.java,280,326,3,T,CR,,
selected,2270906.java,55,65,,F,CR,,
selected,1345347.java,43,53,,F,CR,,
selected,1689613.java,136,157,3,T,CR,,
selected,836722.java,118,126,,F,,,
selected,269844.java,72,93,,F,CR,,
selected,784797.java,22,43,,F,CR,,
selected,2086614.java,39,61,,F,CR,* found zip instead,
selected,1228025.java,39,61,,F,,,
default,132256.java,29,65,,F,,,
default,109059.java,29,65,,F,,,
sample,ZipFiles.java,11,39,,F,,,
selected,1515993.java,51,62,,F,,,
sample,FileChooser.java,67,94,Q,,,,
sample,FileChooser.java,96,123,2,T,,,
sample,FileChooser.java,38,65,3,T,,,
sample,FileChooser.java,9,36,3,T,,,
selected,2037092.java,577,588,3,T,CR,,
selected,121433.java,14,27,3,T,CR,,
selected,2196608.java,77,113,3,T,CR,,
selected,275210.java,147,158,3,T,CR,,
selected,1167111.java,39,51,3,T,CR,,
selected,2628336.java,153,168,3,T,CR,,
default,134106.java,666,682,3,T,CR,,
default,125352.java,666,682,3,T,,,
selected,2174721.java,90,107,3,T,CR,,
default,61445.java,711,726,3,T,,,
default,44040.java,670,685,,F,,,
selected,1234684.java,188,201,,F,,,
sample,ShuffleArrayInPlace.java,34,48,Q,,,,
selected,918764.java,7,15,3,T,,,
selected,918764.java,17,25,3,T,,,
selected,918764.java,27,35,3,T,,,
selected,1632131.java,1207,1214,3,T,,,
selected,918764.java,37,45,3,T,,,
selected,2644288.java,12,19,3,T,,,
sample,ShuffleArrayInPlace.java,16,32,3,T,,,
selected,2212093.java,113,121,3,T,CR,,
selected,2668206.java,11,19,,F,CR,* foun inverse array instead,
selected,1706354.java,12,20,,F,CR,* foun inverse array instead,
sample,ShuffleArrayInPlace.java,50,66,3,T,,,
selected,1632131.java,1216,1223,,F,,,
selected,1752902.java,154,164,3,T,,,
selected,218824.java,418,424,,F,,,
selected,1791798.java,24,32,3,T,,,
sample,MD5.java,2,11,Q,,,,
selected,1508294.java,111,126,3,T,,,
selected,1077933.java,25,40,3,T,,,
selected,1192485.java,22,36,3,T,,,
selected,542382.java,191,206,3,T,,,
selected,1957335.java,147,162,3,T,,,
selected,151366.java,191,206,3,T,,,
selected,59611.java,45,58,3,T,CR,,
selected,723422.java,78,102,3,T,,,
selected,249158.java,12,28,3,T,,,
selected,773465.java,95,111,3,T,,,
selected,1681494.java,89,105,3,T,,,
selected,1421935.java,285,300,3,T,,,
selected,712709.java,12,26,3,T,,,
selected,639185.java,79,99,3,T,,,
selected,530603.java,76,96,3,T,,,
sample,SendEMail.java,15,48,Q,,,,
selected,1829739.java,14,38,3,T,CR,,
selected,2098269.java,21,46,3,T,CR,,
selected,1387379.java,24,54,3,T,CR,,
selected,660010.java,69,94,3,T,,,
selected,660010.java,41,67,3,T,,,
selected,2665636.java,234,260,3,T,,,
default,31489.java,1,62,3,T,CR,,
selected,504335.java,29,53,3,T,CR,,
selected,856760.java,21,52,3,T,,,
selected,1120534.java,20,47,3,T,CR,,
selected,2639498.java,10,34,,F,,,
selected,708096.java,971,996,,F,,,
selected,419022.java,46,87,,F,,,
selected,81984.java,18,41,,F,,,
selected,1326321.java,30,60,3,T,CR,,
sample,ConnectToDatabaseJDBC.java,8,20,Q,,,,
sample,ConnectToDatabaseJDBC.java,21,26,3,T,,,
selected,1521237.java,37,52,3,T,CR,** good example of T3 (Oracle variation of JDBC connection),
selected,1107284.java,32,39,3,T,CR,,
selected,1829483.java,44,55,3,T,CR,** variation of BPH database,
selected,2024022.java,77,85,3,T,CR,,
selected,1094793.java,631,646,3,T,CR,** good example of T3 (Oracle variation of JDBC connection),
selected,1521237.java,81,95,3,T,CR,** MySQL,
selected,266561.java,176,189,3,T,CR,** SQLPro,
selected,2295460.java,189,195,3,T,CR,,
selected,1402305.java,27,52,3,T,CR,** good example of T3 (MySQL),
selected,1536353.java,62,71,3,T,CR,,
selected,778518.java,15,22,,F,,,
selected,1061495.java,35,41,3,T,CR,,
selected,1666430.java,35,43,,F,,,
selected,1795870.java,37,48,,F,,,
sample,BubbleSort.java,219,236,Q,,,,
sample,BubbleSort.java,238,254,3,T,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
selected,1107941.java,295,311,3,T,CR,** variation of array instead of comparable,
selected,1872351.java,5,18,3,T,CR,** good example of T3,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
sample,GCD.java,36,42,Q,,,,
selected,2496352.java,154,159,3,T,CR,,
selected,2340088.java,154,159,3,T,CR,,
selected,943768.java,419,424,3,T,CR,,
selected,700821.java,57,62,3,T,CR,,
selected,296655.java,63,68,3,T,CR,,
selected,1108780.java,137,144,3,T,CR,,
selected,2212772.java,38,44,3,T,CR,,
selected,334423.java,690,696,2,T,CR,** good example of T2,
selected,1923921.java,170,176,3,T,CR,,
selected,618936.java,13,19,3,T,CR,,
selected,1592489.java,17,30,,F,,,
selected,2360126.java,300,308,,F,,,
selected,814007.java,61,67,3,T,,,
selected,1525381.java,120,136,,F,,,
selected,536100.java,205,211,,F,,,
sample,CopyFileSamples.java,18,36,Q,,,,
selected,253429.java,26,38,3,T,,,
selected,926926.java,63,81,3,T,,,
selected,702108.java,45,63,3,T,,,
selected,2556943.java,11,29,3,T,,,
selected,2364800.java,70,88,3,T,,,
selected,1921449.java,65,83,3,T,,,
selected,169032.java,187,205,3,T,,,
selected,1676100.java,297,315,3,T,,,
selected,1552187.java,147,165,3,T,,,
selected,138213.java,35,53,3,T,,,
selected,1234284.java,70,88,3,T,,,
selected,1113498.java,86,104,3,T,,,
default,78884.java,30,48,3,T,,,
selected,871757.java,711,729,3,T,,,
selected,388654.java,111,129,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,40,45,Q,,,,
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T,,,
sample,FTP_FTP4J_Samples.java,22,27,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T,,,
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T,,,
sample,FTP_FTP4J_Samples.java,15,20,3,T,,,
selected,2282501.java,15,25,3,T,,,
selected,2288080.java,25,31,3,T,CR,** good example of T3,
selected,1045878.java,30,42,,F,,,
selected,1234261.java,382,412,3,T,,,
selected,943597.java,15,20,3,T,,,
sample,BubbleSort.java,3,19,Q,,,,
sample,BubbleSort.java,147,163,3,T,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,DBUpdateAndRollback.java,10,29,Q,,<--- STOPPED HERE.,,
sample,DBUpdateAndRollback.java,31,50,3,T,,,
selected,179429.java,30,57,3,T,CR,* no rollback,
selected,812932.java,206,216,3,T,CR,* no rollback,
selected,622755.java,357,365,3,T,CR,* no rollback,
selected,622755.java,323,331,3,T,CR,* no rollback,
selected,622755.java,340,348,3,T,CR,* no rollback,
selected,1670278.java,236,244,3,T,CR,* no rollback,
selected,2414036.java,248,263,3,T,CR,* no rollback,
selected,2616844.java,53,70,3,T,CR,* no rollback,
selected,89284.java,86,95,3,T,CR,* no rollback,
selected,325807.java,138,143,,F,,,
selected,1474251.java,664,676,,F,,,
selected,1319231.java,16,33,,F,,,
selected,1474251.java,651,662,,F,,,
selected,2640630.java,384,414,,F,,,
sample,ConnectToDatabaseJDBC.java,21,26,Q,,,,
sample,ConnectToDatabaseJDBC.java,8,20,3,T,,,
selected,778518.java,15,22,3,T,CR,* Oracle,
selected,156670.java,18,23,3,T,CR,* MySQL,
selected,729495.java,10,19,3,T,CR,* H2,
selected,422053.java,10,19,3,T,CR,* SQLServer,
selected,302267.java,10,19,3,T,CR,* MySQL,
selected,2144911.java,10,19,3,T,CR,* H2,
selected,1554424.java,10,19,3,T,CR,* H2,
selected,1442218.java,10,19,3,T,CR,* InterBase,
selected,1795870.java,37,48,3,T,CR,,
selected,908080.java,398,407,3,T,CR,,
selected,1012811.java,21,33,,F,,,
selected,2649921.java,33,43,,F,,,
selected,2201285.java,71,84,,F,,,
selected,2606900.java,27,32,,F,,,
sample,CallMethodUsingReflection.java,8,18,Q,,,,
sample,CallMethodUsingReflection.java,20,26,3,T,,,
selected,829101.java,144,152,3,T,CR,**,
selected,1648080.java,149,157,3,T,CR,**,
selected,1772743.java,308,319,3,T,CR,,
selected,695514.java,110,120,3,T,CR,,
selected,1580755.java,161,170,3,T,CR,,
selected,2252655.java,186,193,3,T,CR,* call method using another method called getDeclaredMethod(),
sample,CallMethodUsingReflection.java,28,45,3,T,,,
selected,2096479.java,104,116,3,T,,,
selected,769579.java,41,51,3,T,CR,,
selected,551474.java,46,56,,F,,,
selected,1911746.java,43,53,,F,,,
selected,120511.java,93,103,,F,,,
selected,1694875.java,391,412,3,T,CR,** lots of catch statements,
selected,2252655.java,115,122,,F,,,
sample,BubbleSort.java,147,163,Q,,,,
sample,BubbleSort.java,111,127,3,T,,,
sample,BubbleSort.java,3,19,3,T,,,
sample,BubbleSort.java,39,55,3,T,,,
sample,BubbleSort.java,75,91,3,T,,,
sample,BubbleSort.java,183,199,3,T,,,
sample,BubbleSort.java,219,236,3,T,,,
sample,BubbleSort.java,165,181,3,T,,,
sample,BubbleSort.java,129,145,3,T,,,
sample,BubbleSort.java,21,37,3,T,,,
sample,BubbleSort.java,57,73,3,T,,,
sample,BubbleSort.java,93,109,3,T,,,
sample,BubbleSort.java,201,217,3,T,,,
selected,579037.java,225,237,3,T,,,
sample,BubbleSort.java,238,254,3,T,,,
selected,2606539.java,31,47,3,T,,,
sample,CallMethodUsingReflection.java,20,26,Q,,,,
sample,CallMethodUsingReflection.java,8,18,3,T,,,
sample,CallMethodUsingReflection.java,28,45,3,T,,,
sample,InstantiateNamedClassUsingReflection.java,7,12,,F,CR,* found create instance instead,
selected,769579.java,41,51,3,T,CR,,
selected,2262946.java,38,43,3,T,CR,,
selected,955731.java,66,79,3,T,CR,,
selected,56283.java,97,119,3,T,CR,* more detailed implementation,
selected,551474.java,46,56,3,T,CR,,
selected,1911746.java,43,53,3,T,CR,,
selected,120511.java,93,103,3,T,CR,,
