sample,TestPalindrome.java,2,13,Q
selected,2437917.java,138,145,,F
selected,1898130.java,371,379,,F
selected,725302.java,248,255,3,T
selected,1297932.java,196,203,,F
selected,749776.java,58,65,,F
default,45493.java,56,63,3,T
selected,2670230.java,48,56,3,T
selected,2323800.java,20,27,,F
selected,1671140.java,17,24,3,T
sample,ExecuteExternalProcessAndReadInput.java,38,54,Q
sample,ExecuteExternalProcessAndReadInput.java,38,54,1,T
default,32694.java,25,34,3,T
selected,1373242.java,143,159,,F
selected,1910464.java,94,103,,F
selected,1352764.java,19,45,,F
selected,1660205.java,120,132,,F
selected,404199.java,61,155,,F
selected,2194664.java,7,19,,F
default,136294.java,5,21,3,T
selected,1797413.java,27,35,,F
selected,2189072.java,32,52,,F
selected,1403767.java,44,64,,F
selected,1115112.java,48,68,,F
selected,2003890.java,43,69,,F
selected,1207194.java,71,101,,F
sample,EncryptFile.java,16,37,Q
sample,EncryptFile.java,16,37,1,T
selected,2523055.java,1,144,,F
selected,1538113.java,112,131,3,T
selected,1268076.java,1,635,,F
selected,548760.java,1,1606,,F
selected,707787.java,121,144,3,T
selected,1154275.java,1,168,,F
selected,48185.java,1,374,,F
selected,2604207.java,1,371,,F
selected,2466942.java,1,806,,F
selected,104047.java,1,961,,F
default,69920.java,1,573,,F
selected,1052469.java,1,642,,F
default,56669.java,1,1867,,F
default,52077.java,1,902,,F
sample,BubbleSort.java,75,91,Q
sample,BubbleSort.java,75,91,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,BubbleSort.java,57,73,Q
sample,BubbleSort.java,57,73,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,129,145,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
selected,1575844.java,803,814,3,T
sample,CreateRSAKeys.java,34,54,Q
sample,CreateRSAKeys.java,34,54,1,T
selected,2188583.java,37,47,,F
selected,108370.java,19,35,,F
sample,CreateRSAKeys.java,27,32,3,T
selected,2245475.java,21,43,,F
selected,2178771.java,30,37,3,T
selected,884960.java,52,100,,F
selected,2739154.java,41,51,,F
selected,2175564.java,42,52,,F
selected,485664.java,18,27,,F
selected,1984007.java,114,140,3,T
selected,1893609.java,55,65,,F
selected,2739154.java,109,127,,F
selected,2175564.java,110,128,,F
selected,1022819.java,20,36,,F
sample,InstantiateNamedClassUsingReflection.java,7,12,Q
sample,InstantiateNamedClassUsingReflection.java,7,12,1,T
selected,2314628.java,11,16,,F
selected,523240.java,94,104,,F
selected,296454.java,121,127,3,T
selected,846414.java,25,37,,F
selected,399830.java,109,119,,F
selected,2526596.java,143,148,,F
selected,486653.java,206,228,,F
selected,1028166.java,63,70,,F
selected,1181733.java,32,40,,F
selected,2226841.java,116,123,,F
selected,2226841.java,95,102,,F
selected,1326769.java,198,203,,F
selected,554105.java,89,98,,F
selected,2300994.java,40,52,,F
sample,ShuffleArrayInPlace.java,50,66,Q
sample,ShuffleArrayInPlace.java,50,66,1,T
sample,ShuffleArrayInPlace.java,16,32,3,T
sample,ShuffleArrayInPlace.java,34,48,3,T
selected,918764.java,37,45,3,T
selected,2212093.java,113,121,,F
selected,1999677.java,7,15,3,T
selected,2644288.java,12,19,3,T
default,91887.java,342,349,,F
default,64667.java,342,349,,F
selected,918764.java,7,15,3,T
selected,918764.java,17,25,3,T
selected,918764.java,27,35,3,T
selected,857749.java,21,35,,F
selected,1632131.java,1216,1223,,F
selected,164450.java,29,37,3,T
sample,CopyDirectoryTree.java,18,27,Q
sample,CopyDirectoryTree.java,18,27,1,T
sample,CopyDirectoryTree.java,30,44,3,T
selected,1070198.java,76,92,,F
selected,2435652.java,262,282,3,T
selected,1362834.java,90,123,,F
selected,1424799.java,21,46,,F
selected,587323.java,30,165,3,T
selected,948176.java,244,284,3,T
selected,1552187.java,167,191,,F
selected,1362834.java,125,162,,F
selected,1070198.java,34,74,,F
selected,1804094.java,306,312,,F
selected,832610.java,42,60,,F
selected,1122863.java,188,205,,F
selected,100438.java,422,446,,F
sample,OpenURLInSystemBrowser.java,8,15,Q
sample,OpenURLInSystemBrowser.java,8,15,1,T
sample,OpenFileInDesktopApp.java,7,14,,F
selected,2592168.java,86,99,3,T
selected,2494793.java,140,151,3,T
selected,2287112.java,114,127,3,T
selected,2230530.java,13,18,,F
selected,737213.java,189,200,3,T
selected,2327701.java,17,27,3,T
selected,2480556.java,159,168,3,T
selected,1144523.java,38,47,3,T
selected,2543450.java,78,88,3,T
selected,2470676.java,124,133,3,T
selected,2042278.java,160,169,3,T
selected,2022414.java,91,101,3,T
selected,1370230.java,78,88,3,T
sample,getMACAddresInStandardForm.java,9,25,Q
sample,getMACAddresInStandardForm.java,9,25,1,T
selected,2706991.java,35,45,,F
sample,getMACAddresInStandardForm.java,27,39,3,T
selected,1610413.java,306,318,3,T
selected,1373426.java,339,366,3,T
selected,2706991.java,10,33,,F
selected,1384795.java,88,107,,F
selected,527112.java,15,34,3,T
selected,127208.java,32,41,3,T
selected,2454224.java,16,38,3,T
selected,1125396.java,101,153,3,T
selected,384778.java,207,225,,F
selected,440776.java,307,356,3,T
selected,256020.java,79,100,3,T
selected,2296872.java,1798,1817,3,T
sample,CopyFileSamples.java,42,53,Q
sample,CopyFileSamples.java,42,53,1,T
selected,574710.java,21,35,,F
selected,352380.java,151,170,,F
selected,575737.java,21,36,,F
selected,731475.java,599,609,,F
selected,970476.java,67,77,,F
selected,749840.java,80,90,,F
selected,729469.java,77,87,,F
selected,699979.java,218,228,,F
selected,682552.java,108,118,,F
selected,666556.java,108,118,,F
selected,535910.java,370,380,,F
selected,411734.java,143,153,,F
selected,389558.java,190,200,,F
selected,345735.java,232,242,,F
sample,UnZip.java,3,44,Q
sample,UnZip.java,3,44,1,T
selected,2129944.java,1,1463,,F
selected,2466942.java,1,806,,F
selected,1956869.java,1,689,,F
selected,943426.java,1,540,,F
selected,2339973.java,1,1586,,F
default,98947.java,1,493,,F
default,7025.java,1,493,,F
default,41436.java,1,493,,F
default,35380.java,1,493,,F
default,106099.java,1,493,,F
selected,104047.java,1,961,,F
selected,211427.java,1,394,,F
selected,219295.java,1,824,,F
selected,548760.java,1,1606,,F
sample,FileChooser.java,67,94,Q
sample,FileChooser.java,67,94,1,T
sample,FileChooser.java,96,123,2,T
sample,FileChooser.java,38,65,3,T
sample,FileChooser.java,9,36,3,T
selected,2628336.java,125,190,,F
selected,2643324.java,80,100,,F
selected,2628336.java,153,168,,F
selected,275210.java,147,158,,F
selected,1708976.java,168,207,,F
selected,1221014.java,46,63,,F
selected,1729645.java,53,68,,F
selected,900579.java,83,115,,F
selected,711500.java,528,543,,F
selected,1167111.java,39,51,,F
selected,2064130.java,36,61,,F
sample,ShuffleArrayInPlace.java,34,48,Q
sample,ShuffleArrayInPlace.java,34,48,1,T
selected,918764.java,7,15,3,T
selected,1632131.java,1207,1214,3,T
sample,ShuffleArrayInPlace.java,16,32,3,T
sample,ShuffleArrayInPlace.java,50,66,3,T
selected,918764.java,17,25,3,T
selected,918764.java,27,35,3,T
selected,918764.java,37,45,3,T
selected,2644288.java,12,19,3,T
selected,2212093.java,113,121,,F
selected,2668206.java,11,19,,F
selected,1706354.java,12,20,,F
default,91887.java,342,349,,F
default,64667.java,342,349,,F
selected,1632131.java,1216,1223,,F
sample,MD5.java,2,11,Q
sample,MD5.java,2,11,1,T
selected,1508294.java,111,126,3,T
selected,1077933.java,25,40,3,T
selected,1192485.java,22,36,3,T
selected,59611.java,45,58,,F
selected,542382.java,191,206,3,T
selected,1957335.java,147,162,3,T
selected,151366.java,191,206,3,T
selected,249158.java,12,28,3,T
selected,723422.java,78,102,3,T
selected,712709.java,12,26,3,T
selected,773465.java,95,111,3,T
selected,1681494.java,89,105,3,T
selected,2578041.java,341,350,3,T
selected,1421935.java,285,300,3,T
sample,SendEMail.java,15,48,Q
sample,SendEMail.java,15,48,1,T
selected,1829739.java,14,38,,F
selected,2098269.java,21,46,,F
selected,660010.java,69,94,3,T
selected,1387379.java,24,54,,F
selected,660010.java,41,67,3,T
selected,2665636.java,234,260,3,T
selected,504335.java,29,53,,F
default,31489.java,1,62,,F
selected,771204.java,22,52,,F
selected,2639498.java,10,34,,F
selected,419022.java,46,87,,F
selected,1120534.java,20,47,,F
selected,1700073.java,154,174,,F
selected,856760.java,21,52,3,T
sample,ConnectToDatabaseJDBC.java,8,20,Q
sample,ConnectToDatabaseJDBC.java,8,20,1,T
sample,ConnectToDatabaseJDBC.java,21,26,3,T
selected,1521237.java,37,52,,F
selected,1107284.java,32,39,,F
selected,1521237.java,81,95,,F
selected,1536353.java,62,71,,F
selected,2024022.java,77,85,,F
selected,266561.java,176,189,,F
selected,2295460.java,189,195,,F
selected,1795870.java,37,48,,F
selected,1438385.java,54,65,,F
selected,642850.java,113,122,,F
selected,266561.java,142,159,,F
selected,1265345.java,76,99,,F
selected,1402305.java,27,52,,F
sample,BubbleSort.java,219,236,Q
sample,BubbleSort.java,219,236,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
sample,BubbleSort.java,238,254,3,T
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,GCD.java,36,42,Q
sample,GCD.java,36,42,1,T
selected,2496352.java,154,159,,F
selected,2340088.java,154,159,,F
selected,2212772.java,38,44,,F
selected,1108780.java,137,144,,F
selected,943768.java,419,424,,F
selected,700821.java,57,62,,F
selected,296655.java,63,68,,F
selected,1923921.java,170,176,,F
selected,1592489.java,17,30,,F
selected,1512162.java,212,224,,F
selected,803847.java,61,78,,F
selected,2098245.java,66,72,,F
selected,536100.java,205,211,,F
selected,1525381.java,120,136,,F
sample,CopyFileSamples.java,18,36,Q
sample,CopyFileSamples.java,18,36,1,T
selected,1113498.java,86,104,3,T
selected,1574719.java,145,163,3,T
selected,253429.java,26,38,3,T
selected,871757.java,711,729,3,T
selected,1791697.java,70,88,3,T
selected,169032.java,187,205,3,T
selected,1552187.java,147,165,3,T
selected,1435050.java,199,217,3,T
selected,926926.java,63,81,3,T
selected,388654.java,111,129,3,T
selected,2556943.java,11,29,3,T
selected,2364800.java,70,88,3,T
selected,1921449.java,65,83,3,T
selected,1819337.java,144,162,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,Q
sample,FTP_ApacheCommonsNet_Samples.java,40,45,1,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
selected,2282501.java,15,25,3,T
selected,2700070.java,26,33,,F
selected,2547913.java,19,44,3,T
selected,2288080.java,25,31,,F
sample,BubbleSort.java,3,19,Q
sample,BubbleSort.java,3,19,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,DBUpdateAndRollback.java,10,29,Q
sample,DBUpdateAndRollback.java,10,29,1,T
sample,DBUpdateAndRollback.java,31,50,3,T
selected,378145.java,458,478,3,T
selected,812932.java,206,216,,F
selected,179429.java,30,57,,F
selected,1596202.java,103,125,3,T
selected,1474251.java,651,662,,F
selected,622755.java,357,365,,F
selected,622755.java,323,331,,F
selected,622755.java,340,348,,F
selected,1670278.java,236,244,,F
selected,2414036.java,248,263,,F
selected,702324.java,42,51,,F
selected,1874317.java,42,51,,F
selected,812932.java,229,238,,F
sample,ConnectToDatabaseJDBC.java,21,26,Q
sample,ConnectToDatabaseJDBC.java,21,26,1,T
sample,ConnectToDatabaseJDBC.java,8,20,3,T
selected,1795870.java,37,48,,F
selected,729495.java,10,19,,F
selected,422053.java,10,19,,F
selected,302267.java,10,19,,F
selected,2144911.java,10,19,,F
selected,1554424.java,10,19,,F
selected,1442218.java,10,19,,F
selected,156670.java,18,23,,F
selected,778518.java,15,22,,F
selected,780401.java,74,86,,F
selected,2496232.java,118,127,,F
selected,2388908.java,66,83,,F
selected,294552.java,195,219,,F
sample,CallMethodUsingReflection.java,8,18,Q
sample,CallMethodUsingReflection.java,8,18,1,T
sample,CallMethodUsingReflection.java,20,26,3,T
sample,CallMethodUsingReflection.java,28,45,3,T
selected,1772743.java,308,319,,F
selected,2096479.java,104,116,,F
selected,695514.java,110,120,,F
selected,2252655.java,115,122,,F
selected,2252655.java,186,193,,F
selected,1634748.java,107,120,,F
selected,2014063.java,133,143,,F
selected,1580755.java,161,170,,F
selected,661840.java,193,203,,F
selected,516185.java,70,79,,F
selected,2282446.java,140,149,,F
selected,1580512.java,140,149,,F
sample,BubbleSort.java,147,163,Q
sample,BubbleSort.java,147,163,1,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,102823.java,1,391,,F
sample,CallMethodUsingReflection.java,20,26,Q
sample,CallMethodUsingReflection.java,20,26,1,T
sample,CallMethodUsingReflection.java,28,45,3,T
sample,CallMethodUsingReflection.java,8,18,3,T
selected,120511.java,93,103,,F
selected,56283.java,97,119,,F
selected,769579.java,41,51,,F
selected,551474.java,46,56,,F
selected,1911746.java,43,53,,F
selected,955731.java,66,79,,F
selected,253098.java,85,93,,F
selected,2256439.java,437,455,,F
selected,850489.java,112,139,,F
selected,983598.java,96,123,,F
selected,849510.java,116,143,,F
selected,604446.java,96,123,,F
sample,BubbleSort.java,111,127,Q
sample,BubbleSort.java,111,127,1,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
default,115312.java,1,1418,,F
default,47376.java,1,1410,,F
default,22631.java,1,938,,F
default,3227.java,1,932,,F
default,49324.java,1,848,,F
default,85431.java,1,383,,F
default,33299.java,1,381,,F
default,123884.java,1,841,,F
sample,FTP_ApacheCommonsNet_Samples.java,25,31,Q
sample,FTP_ApacheCommonsNet_Samples.java,25,31,1,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
selected,502121.java,187,209,3,T
selected,14032.java,23,34,3,T
selected,2282501.java,15,25,3,T
selected,1234261.java,382,412,3,T
sample,OpenFileInDesktopApp.java,7,14,Q
sample,OpenFileInDesktopApp.java,7,14,1,T
sample,OpenURLInSystemBrowser.java,8,15,,F
selected,827122.java,405,412,3,T
selected,2592168.java,86,99,,F
selected,1740244.java,29,42,3,T
selected,2444056.java,345,357,3,T
selected,2287112.java,114,127,,F
selected,1045267.java,28,39,3,T
selected,2417484.java,248,257,3,T
selected,598204.java,1052,1063,,F
selected,598204.java,1078,1089,,F
selected,794727.java,36,48,3,T
selected,1975126.java,36,48,3,T
selected,2246145.java,179,184,3,T
selected,1740244.java,22,44,3,T
sample,DeleteFolderRecursively.java,20,51,Q
sample,DeleteFolderRecursively.java,20,51,1,T
sample,DeleteFolderRecursively.java,29,37,,F
selected,1658160.java,140,154,,F
sample,DeleteFolderRecursively.java,39,49,,F
sample,CopyDirectoryTree.java,30,44,,F
sample,DeleteFolderRecursively.java,22,27,,F
selected,1658160.java,42,70,,F
selected,2317036.java,36,53,,F
selected,2220111.java,546,578,,F
selected,169026.java,1,213,,F
selected,2744271.java,102,117,,F
selected,2578751.java,253,283,,F
selected,60250.java,1,549,,F
selected,2339973.java,1,1586,,F
selected,2022669.java,1,444,,F
sample,PlaySound.java,29,44,Q
sample,PlaySound.java,29,44,1,T
selected,2454405.java,36,70,,F
selected,1207094.java,181,211,,F
selected,42910.java,108,144,,F
selected,2550647.java,61,103,,F
selected,2464807.java,114,141,,F
selected,1309422.java,323,349,,F
selected,1309422.java,295,321,,F
selected,1309422.java,193,219,,F
selected,1309422.java,165,191,,F
selected,1309422.java,137,163,,F
selected,1309422.java,109,135,,F
selected,1309422.java,81,107,,F
selected,1309422.java,49,75,,F
default,127108.java,36,61,,F
sample,DownloadWebpage.java,55,67,Q
sample,DownloadWebpage.java,55,67,1,T
sample,DownloadWebpage.java,20,30,3,T
selected,878394.java,15,26,3,T
selected,1864701.java,76,93,,F
selected,1957004.java,27,50,,F
sample,DownloadWebpage.java,32,53,3,T
selected,372843.java,147,176,,F
selected,889501.java,22,51,,F
selected,482863.java,250,278,,F
selected,475921.java,18,41,,F
selected,1422483.java,524,536,,F
selected,1196692.java,66,78,,F
selected,1673591.java,84,137,,F
selected,415042.java,13,42,,F
selected,2249517.java,13,42,,F
sample,BubbleSort.java,129,145,Q
sample,BubbleSort.java,129,145,1,T
sample,BubbleSort.java,165,181,3,T
sample,BubbleSort.java,21,37,3,T
sample,BubbleSort.java,57,73,3,T
sample,BubbleSort.java,93,109,3,T
sample,BubbleSort.java,201,217,3,T
sample,BubbleSort.java,238,254,3,T
sample,BubbleSort.java,111,127,3,T
sample,BubbleSort.java,147,163,3,T
sample,BubbleSort.java,3,19,3,T
sample,BubbleSort.java,39,55,3,T
sample,BubbleSort.java,75,91,3,T
sample,BubbleSort.java,183,199,3,T
sample,BubbleSort.java,219,236,3,T
selected,1575844.java,803,814,3,T
sample,DeleteFolderRecursively.java,11,17,Q
sample,DeleteFolderRecursively.java,11,17,1,T
selected,2328079.java,92,97,,F
selected,2371926.java,96,101,,F
selected,1800468.java,83,88,3,T
selected,1778774.java,78,83,,F
selected,1761360.java,80,85,,F
selected,1676955.java,79,84,,F
selected,133258.java,62,67,,F
selected,299673.java,81,91,,F
selected,2675844.java,302,309,,F
selected,2295586.java,270,277,3,T
selected,41785.java,311,318,,F
selected,2239185.java,26,33,,F
default,93205.java,173,178,3,T
default,22340.java,173,178,3,T
sample,FTP_ApacheCommonsNet_Samples.java,33,38,Q
sample,FTP_ApacheCommonsNet_Samples.java,33,38,1,T
sample,FTP_ApacheCommonsNet_Samples.java,47,53,3,T
sample,FTP_ApacheCommonsNet_Samples.java,40,45,3,T
sample,FTP_ApacheCommonsNet_Samples.java,11,16,3,T
sample,FTP_ApacheCommonsNet_Samples.java,25,31,3,T
sample,FTP_FTP4J_Samples.java,15,20,3,T
sample,FTP_ApacheCommonsNet_Samples.java,18,23,3,T
sample,FTP_ApacheCommonsNet_Samples.java,62,67,3,T
sample,FTP_ApacheCommonsNet_Samples.java,55,60,3,T
sample,FTP_ApacheCommonsNet_Samples.java,69,75,3,T
sample,FTP_FTP4J_Samples.java,22,27,3,T
selected,14032.java,23,34,3,T
selected,858875.java,134,142,3,T
